[00:00.000 --> 00:02.000]  You a Letterman fan?
[1:29:36.640 --> 1:29:42.200]  but it's really what it means is Gartner goes through and ranks a whole bunch of internet
[1:29:42.200 --> 1:29:48.800]  type software, uh, from all sorts of big names, Microsoft, IBM, Google, VMware, Salesforce,
[1:29:48.800 --> 1:29:49.800]  SAP, all this stuff.
[1:29:49.800 --> 1:29:55.880]  The igloo is listed alongside all those big companies for the sixth consecutive year, uh,
[1:29:55.880 --> 1:30:00.440]  praise by Gartner for the ease of use that you don't need to be technical to set it up,
[1:30:00.440 --> 1:30:03.000]  uh, that you get great support.
[1:30:03.000 --> 1:30:08.200]  Um, they're competing with all those big companies in terms of what igloo's platform
[1:30:08.200 --> 1:30:12.680]  does, but they do it in a way that is like totally modern, really cool.
[1:30:12.680 --> 1:30:17.040]  Um, all through the web, everything is scalable, everything is responsive, so you can
[1:30:17.040 --> 1:30:20.760]  use your phone, you can use your tablet, you can use your desktop.
[1:30:20.760 --> 1:30:24.160]  Best of all, here's the thing, uh, it's free to try.
[1:30:24.160 --> 1:30:29.120]  Just go there, you sign up, go to igloo software.com slash the talk show, uh, you don't
[1:30:29.120 --> 1:30:33.000]  have to save any money because the, that just lets them know you're coming from the show.
[1:30:33.000 --> 1:30:38.520]  igloo software.com slash the talk show sign up, start using it, uh, poke around with everything
[1:30:38.520 --> 1:30:39.520]  you want.
[1:30:39.520 --> 1:30:43.680]  And for up to 10 people, it's free forever, just if so, if your team is 10 people or fewer,
[1:30:43.680 --> 1:30:48.000]  you'd never have to pay, you just use igloo and you have a free internet.
[1:30:48.000 --> 1:30:51.920]  And if your team is more than 10 people, use it with 10 to get started to see what it's
[1:30:51.920 --> 1:30:52.920]  like.
[1:30:52.920 --> 1:30:56.000]  And that's how confident they are that you'll sign up and put your whole team on it.
[1:30:56.000 --> 1:31:00.480]  So my thanks to igloo, go to igloo software.com slash the talk show.
[1:31:00.480 --> 1:31:06.480]  So breaking news, uh, told you before Renee Richie was waiting on his space black, uh,
[1:31:06.480 --> 1:31:11.400]  Apple watch it arrived while we were doing the show, he texted me, uh, his band came out
[1:31:11.400 --> 1:31:19.240]  of fine. No, no friction. Nice breaking news. More breaking news. Apple stores to begin
[1:31:19.240 --> 1:31:28.320]  stalking watch bands this week from, from scoop german. Is that your new name for, for
[1:31:28.320 --> 1:31:35.160]  young Mark, girl? It should be. Yeah, kids on fire lately. He had like three today. So one
[1:31:35.160 --> 1:31:42.400]  of them I was going to ask you about. So, uh, more, more details from iOS nine, including
[1:31:42.400 --> 1:31:49.680]  the switch to San Francisco as the default system font. So first of all, do you think there's
[1:31:49.680 --> 1:31:57.400]  going to be an iOS nine? Yes. As in like right now. Yeah, I think I, I would expect that
[1:31:57.400 --> 1:32:02.880]  it'll, that I think that they really Apple really likes annual schedules. And so I think
[1:32:02.880 --> 1:32:10.880]  that, um, at WWDC in three weeks, there will be iOS nine will be revealed. Mac OS 10,
[1:32:10.880 --> 1:32:20.120]  10, 2011 will be revealed. And we'll get them in the fall. Cool. I think I agree. There's
[1:32:20.120 --> 1:32:24.000]  a lot of, you know, and it german himself has reported that, that there might be more of
[1:32:24.000 --> 1:32:32.800]  a shift towards reliability and bug fixing, uh, as opposed to really laying it on thick
[1:32:32.800 --> 1:32:36.960]  with a lot of new features, uh, which I think is also, I don't think it, it partially
[1:32:36.960 --> 1:32:44.280]  in response to actual, you know, the reality of, oh, you know, iOS eight and the current,
[1:32:44.280 --> 1:32:48.600]  you know, Yosemite. And I think partially that that's the natural ebb and flow of the way
[1:32:48.600 --> 1:32:53.640]  these things go that they've spent the last few years, uh, doing things that had to, they
[1:32:53.640 --> 1:32:57.200]  had to do all at once. Like if you're going to add these continuity type features with
[1:32:57.200 --> 1:33:03.600]  the two OS's hand stuff off and, and share so much, um, there's no way to kind of do that
[1:33:03.600 --> 1:33:09.200]  halfway. You've kind of got to go all in. Um, but yeah, I totally think we'll see that.
[1:33:09.200 --> 1:33:14.000]  I'd be, I'd be, and I'd be way more surprised if we don't see iOS nine, because I feel
[1:33:14.000 --> 1:33:19.680]  like they've, they've had a new version of iOS every year. Yeah, I, I agree. Uh, I think
[1:33:19.680 --> 1:33:25.280]  it's intro, it's crazy how it's only a year ago that so many of these features were introduced
[1:33:25.280 --> 1:33:32.120]  too. And they already seem, you know, like just part of the, part of the way everything
[1:33:32.120 --> 1:33:36.880]  works. Uh, I imagine since, you know, you could kind of see if you go back and look
[1:33:36.880 --> 1:33:42.520]  at last year's announcements, how they foreshadow a lot of the ways that the phone and
[1:33:42.520 --> 1:33:50.480]  watch, uh, talk to each other. Um, and now that all that stuff is kind of public, uh, I would
[1:33:50.480 --> 1:33:55.760]  guess that there would be some more integrations between the watch and the phone and the
[1:33:55.760 --> 1:34:00.400]  Mac and all that kind of stuff. Yeah, I definitely think so. I mean, I'm curious to see
[1:34:00.400 --> 1:34:05.440]  what they do. I mean, probably, well, I don't know. It's hard to say because the watch
[1:34:05.440 --> 1:34:09.440]  is such a peripheral to the phone, you know, that the watch isn't really like a standalone
[1:34:09.440 --> 1:34:15.160]  member of the tribe. It's like a addition to the phone in particular. It's interesting
[1:34:15.160 --> 1:34:20.680]  how in the, in the Apple store, they have a watch paired to an iPad, but you can't do
[1:34:20.680 --> 1:34:27.520]  that as a, as a mortal. No, I didn't know you could do that in the store. Yeah. Those demo
[1:34:27.520 --> 1:34:34.000]  units, unless they're hiding a phone inside that crazy case too, those watch the live demos,
[1:34:34.000 --> 1:34:42.040]  which are kind of in that crazy case. Yeah. Um, that's an iPad mini that's in that same
[1:34:42.040 --> 1:34:48.680]  case. So I imagine that's what it's hooked up to. I had the thought today and it was, it
[1:34:48.680 --> 1:34:52.080]  was reminded of it earlier in the show when I was telling you that the one time I unpaired
[1:34:52.080 --> 1:34:55.600]  the watch from my phone was to go back to the five S to see what it was like using a five
[1:34:55.600 --> 1:35:01.320]  S with the watch. Um, that the next time I have a, a new iPhone to review, it's going
[1:35:01.320 --> 1:35:10.400]  to be weird. Oh, yeah. Because I guess I'll have to unpair my watch. I mean, unless I stop
[1:35:10.400 --> 1:35:16.200]  using the watch too, right? But that, you know, that doesn't really seem like, even not
[1:35:16.200 --> 1:35:21.800]  with standing, whether or not I am in the mood to keep wearing the watch. I feel like as
[1:35:21.800 --> 1:35:26.040]  a reviewer, part of the review process is how does it work with Apple watch, but I'm going
[1:35:26.040 --> 1:35:30.120]  to have to, you can't have your watch paired with more than one phone at a time. And you
[1:35:30.120 --> 1:35:34.040]  can't have more than one watch paired with your phone at a time. It's one watch per phone,
[1:35:34.040 --> 1:35:38.760]  one phone per watch. And that makes a review unit that I'm only really using for two or
[1:35:38.760 --> 1:35:43.800]  three weeks full time sort of a pain in the ass. Well, we'll, we'll first see how annoying
[1:35:43.800 --> 1:35:51.760]  it is when the iOS beta's come out in a few weeks. How, how does that work? Uh, I guess
[1:35:51.760 --> 1:35:55.480]  you probably won't run that on your main device. So it won't affect the watch. But if you
[1:35:55.480 --> 1:36:00.720]  want to do something, if you want to test something on the watch, yeah, the way I've done
[1:36:00.720 --> 1:36:07.920]  at the last few years is I've waited until sometime in July to update to the iOS beta. Like
[1:36:07.920 --> 1:36:15.240]  I don't, I don't run the builds from June. Um, and I leave that to the kids, I'm too.
[1:36:15.240 --> 1:36:19.800]  But I do update, you know, at some point in July or August before, before it actually
[1:36:19.800 --> 1:36:25.080]  ships. Yeah. Yeah, that would be interesting with the watch too. I don't know. Geez. So, uh, what
[1:36:25.080 --> 1:36:30.800]  do you think of this to move to San Francisco? Uh, I'm not surprised. I think it'll probably
[1:36:30.800 --> 1:36:36.280]  look good. Um, the caveat being that there's like a hack, I mean, I talked about this months
[1:36:36.280 --> 1:36:40.560]  ago on the show, but somebody came up with a hack on GitHub for, if you download the versions
[1:36:40.560 --> 1:36:45.080]  of San Francisco, there's two, two versions of San, well, two families. There's San Francisco
[1:36:45.080 --> 1:36:51.000]  text and San Francisco display. Uh, and text just means smaller and display means bigger,
[1:36:51.000 --> 1:36:54.760]  more or less. Like the display variant of any font usually means something that you're going
[1:36:54.760 --> 1:36:59.280]  to put at a display size, meaning a big size. And that there's differences between some
[1:36:59.280 --> 1:37:03.600]  of the characters, subtle differences in the character shapes and the spacing based on
[1:37:03.600 --> 1:37:08.680]  the presumption of how big it's going to be. Um, somebody made a hack and they published
[1:37:08.680 --> 1:37:16.320]  it on GitHub so that you could use, um, San Francisco as the font in Yosemite. I was 10,
[1:37:16.320 --> 1:37:23.720]  10, 0.10, 0.10. Um, and I installed that and that I felt like I was going back, you know,
[1:37:23.720 --> 1:37:27.080]  to my early, you know, the younger days when I would install all sorts of crazy interface
[1:37:27.080 --> 1:37:31.480]  hacks on my system. Um, because I was so curious about it. And I felt like it looked
[1:37:31.480 --> 1:37:35.760]  okay, but it didn't look great. But my guess is that that just means that they need
[1:37:35.760 --> 1:37:40.640]  to make some more tweaks to the font to make it look right at the optical sizes that
[1:37:40.640 --> 1:37:44.480]  it appears on a Mac compared to the watch. Like I feel like the version that they shipped
[1:37:44.480 --> 1:37:49.960]  already is truly optimized. We're even on the watch display text is still tiny because
[1:37:49.960 --> 1:37:54.240]  it's a tiny little watch. And on the Mac, it's a much more reasonable size. So I feel
[1:37:54.240 --> 1:37:58.600]  like it, you know, I think it'll look good. And I think on iOS, it'll look good too.
[1:37:58.600 --> 1:38:06.240]  Yeah, I've gotten used to Helvetica on the Mac, but you know, I'm not glued to it. Yeah,
[1:38:06.240 --> 1:38:10.600]  I'm sure for a company that sweats the details like Apple, that'll make sure that it looks
[1:38:10.600 --> 1:38:17.520]  good at all those system sizes. All right. And it, you know, it's always been a little
[1:38:17.520 --> 1:38:22.200]  weird to me. I've always thought that iOS are not iOS, a Helvetica. And I'm just going
[1:38:22.200 --> 1:38:27.000]  to say Helvetica and not mention Helvetica Noya, you know, as a separate font. But let's
[1:38:27.000 --> 1:38:35.160]  just say Helvetica. I've always thought it was a curious choice for a system font. And,
[1:38:35.160 --> 1:38:39.680]  you know, and it's been the system font on iOS all the way from the original iPhone.
[1:38:39.680 --> 1:38:43.680]  And I love it on the iPhone. I've, you know, it's not some people think because I often
[1:38:43.680 --> 1:38:48.120]  say good things about Helvetica that it's like my favorite font and it's not even close.
[1:38:48.120 --> 1:38:53.160]  But I do like it and appreciate it for what it is. And I think it's such a humble choice
[1:38:53.160 --> 1:38:59.600]  on Apple's part back in 2007 because it's, you know, Helvetica is Helvetica. It's the, you
[1:38:59.600 --> 1:39:06.120]  know, it's the only font that there's been a movie made about. It's the default font
[1:39:06.120 --> 1:39:12.760]  and text documents, you know, in text edit. It's also not owned by Apple. So any other,
[1:39:12.760 --> 1:39:16.600]  anybody else can make a phone, you know, an HTC's done at other companies have done it
[1:39:16.600 --> 1:39:21.680]  where if they license Helvetica, they can use Helvetica on their phones too. Whereas
[1:39:21.680 --> 1:39:25.920]  if you own your own font, like they do with San Francisco, Apple has a font that, you
[1:39:25.920 --> 1:39:30.720]  know, can be part of their unique identity and nobody else can use it.
[1:39:30.720 --> 1:39:38.000]  It's the new Chicago. Right. Did they own Chicago? Yeah, definitely. What a ugly font.
[1:39:38.000 --> 1:39:43.760]  I mean, well, but it was perfect for it was, yeah. It was a perfect bit map. Like, yeah,
[1:39:43.760 --> 1:39:48.600]  six point by four. I had something I want to talk about at the, there's a conference going
[1:39:48.600 --> 1:39:53.680]  on alongside WWDC this year, the layers conference. It's a design conference tick two blocks
[1:39:53.680 --> 1:39:59.200]  away from Moscone on Tuesday and Wednesday of WWDC week. And I'm Susan Care, who
[1:39:59.200 --> 1:40:05.320]  is like the headline keynote speaker. And then I'm doing a thing where I'm going to
[1:40:05.320 --> 1:40:10.000]  interview Susan Care on stage, you know, after her thing. I would love, I can't wait to
[1:40:10.000 --> 1:40:15.440]  talk to her about Chicago in particular because to me, Chicago is a, is one of the weirdest
