[00:00.000 --> 00:02.000]  I've got too many iPads
[01:47:17.000 --> 01:47:20.000]  Before they came out with trackpad support,
[01:47:20.000 --> 01:47:24.000]  every time we'd talk about iPads on any podcast,
[01:47:24.000 --> 01:47:25.000]  everybody would say,
[01:47:25.000 --> 01:47:27.000]  boy, I sure wish you could have a trackpad
[01:47:27.000 --> 01:47:30.000]  when you're using it as a laptop.
[01:47:30.000 --> 01:47:32.000]  And now that you can, it is great.
[01:47:32.000 --> 01:47:34.000]  They came up with it, truly knocked it out of the park
[01:47:34.000 --> 01:47:38.000]  with the implementation in a way that fits with the iPad OS
[01:47:38.000 --> 01:47:41.000]  without taking anything away from touch
[01:47:41.000 --> 01:47:44.000]  and not just mimicking the Mac
[01:47:44.000 --> 01:47:46.000]  and having an arrow pointer and stuff like that.
[01:47:46.000 --> 01:47:47.000]  It's all great.
[01:47:47.000 --> 01:47:49.000]  I don't know why anybody would want it,
[01:47:49.000 --> 01:47:51.000]  but apparently they do because they're still selling it.
[01:47:51.000 --> 01:47:52.000]  And even that's not cheap.
[01:47:52.000 --> 01:47:54.000]  That's 180 bucks for the 11-inch
[01:47:54.000 --> 01:47:56.000]  and $200 for the 12.9-inch.
[01:47:56.000 --> 01:47:59.000]  It's mind-boggling to me that someone would spend $200
[01:47:59.000 --> 01:48:02.000]  and get one without a trackpad, but there it is.
[01:48:02.000 --> 01:48:04.000]  Yeah.
[01:48:04.000 --> 01:48:07.000]  I thought ever since the Magic Keyboard came out,
[01:48:07.000 --> 01:48:08.000]  the one for the iPad Pros,
[01:48:08.000 --> 01:48:10.000]  that the reason they didn't have function keys
[01:48:10.000 --> 01:48:12.000]  wasn't so much they didn't think iPad needed them,
[01:48:12.000 --> 01:48:16.000]  but because those keys would be underneath the iPad
[01:48:16.000 --> 01:48:18.000]  in the design.
[01:48:18.000 --> 01:48:21.000]  But I sort of feel like people,
[01:48:21.000 --> 01:48:23.000]  especially just to have an escape key,
[01:48:23.000 --> 01:48:25.000]  and again, this is one of those nerd things
[01:48:25.000 --> 01:48:28.000]  where the nerdier people who are more likely to have an iPad Pro
[01:48:28.000 --> 01:48:30.000]  are the ones who really want an escape key.
[01:48:30.000 --> 01:48:32.000]  I think over the last few years,
[01:48:32.000 --> 01:48:35.000]  there's been more discussion of escape keys
[01:48:35.000 --> 01:48:37.000]  in our commentariat crowd
[01:48:37.000 --> 01:48:40.000]  than some people at Apple could ever believe.
[01:48:40.000 --> 01:48:41.000]  Whoever the pro,
[01:48:41.000 --> 01:48:44.000]  ah, we don't need escape keys on iPads.
[01:48:44.000 --> 01:48:45.000]  People are.
[01:48:45.000 --> 01:48:48.000]  I think that they've been surprised by how much,
[01:48:48.000 --> 01:48:52.000]  yes, some people really do need the escape key on the keyboard.
[01:48:52.000 --> 01:48:54.000]  So I think it's weird that the people
[01:48:54.000 --> 01:48:56.000]  who are more likely to need an escape key
[01:48:56.000 --> 01:48:58.000]  are more likely to own the iPad Pros
[01:48:58.000 --> 01:49:02.000]  that come with $300 keyboards that don't have it.
[01:49:02.000 --> 01:49:06.000]  And if they had to reach under the iPad to get to it,
[01:49:06.000 --> 01:49:08.000]  it would still be better than not having it.
[01:49:08.000 --> 01:49:12.000]  Yeah, what it really does is put the lie to the argument
[01:49:12.000 --> 01:49:13.000]  that you don't need them
[01:49:13.000 --> 01:49:15.000]  because they're all in control center, right?
[01:49:15.000 --> 01:49:16.000]  Which is a dumb argument,
[01:49:16.000 --> 01:49:18.000]  but I definitely heard people say,
[01:49:18.000 --> 01:49:20.000]  well, you can just use those in control center, it's fine.
[01:49:20.000 --> 01:49:21.000]  I don't know if people from Apple told that to me
[01:49:21.000 --> 01:49:22.000]  or it was just people on the internet,
[01:49:22.000 --> 01:49:24.000]  but that was like, oh, well, you don't really need it.
[01:49:24.000 --> 01:49:26.000]  But here it is, right?
[01:49:26.000 --> 01:49:27.000]  Like, here it is.
[01:49:27.000 --> 01:49:29.000]  They obviously, Apple has endorsed the idea
[01:49:29.000 --> 01:49:32.000]  and they have managed to fill up every single F key
[01:49:32.000 --> 01:49:33.000]  with a function, right?
[01:49:33.000 --> 01:49:36.000]  But it's so much better to change your brightness
[01:49:36.000 --> 01:49:39.000]  from the keyboard when you're working on a keyboard
[01:49:39.000 --> 01:49:40.000]  or change the volume.
[01:49:40.000 --> 01:49:42.000]  It's so much better.
[01:49:42.000 --> 01:49:46.000]  And so to see Apple put it on one of these magic keyboards,
[01:49:46.000 --> 01:49:49.000]  even if it's not the one that I use,
[01:49:49.000 --> 01:49:52.000]  I feel like is Apple saying, okay, we get it.
[01:49:52.000 --> 01:49:54.000]  There is actually value in having that escape key
[01:49:54.000 --> 01:49:56.000]  and all of those hardware control keys.
[01:49:56.000 --> 01:49:58.000]  And I would be surprised
[01:49:58.000 --> 01:50:02.000]  if we didn't see this layout going forward, right?
[01:50:02.000 --> 01:50:04.000]  It's unfortunate it's not there today,
[01:50:04.000 --> 01:50:06.000]  but I would be surprised if this is in the future,
[01:50:06.000 --> 01:50:09.000]  like the center on the horizontal side camera.
[01:50:09.000 --> 01:50:13.000]  These feel like iPad product line decisions
[01:50:13.000 --> 01:50:15.000]  that have just come here first.
[01:50:15.000 --> 01:50:17.000]  We often talk about the ways,
[01:50:17.000 --> 01:50:19.000]  the subtle ways that the Mac,
[01:50:19.000 --> 01:50:20.000]  subtle and sometimes not subtle ways
[01:50:20.000 --> 01:50:25.000]  that the Mac interface has been sort of iOS-ified
[01:50:25.000 --> 01:50:27.000]  in recent years,
[01:50:27.000 --> 01:50:29.000]  but it works both ways
[01:50:29.000 --> 01:50:33.000]  where there are habits from using a MacBook
[01:50:33.000 --> 01:50:34.000]  that you wanna carry forward.
[01:50:34.000 --> 01:50:37.000]  If you just want it all to be a seamless,
[01:50:37.000 --> 01:50:39.000]  you're in the Apple ecosystem
[01:50:39.000 --> 01:50:41.000]  and obviously Apple would like it
[01:50:41.000 --> 01:50:44.000]  if you're the sort of person who owns both an iPad
[01:50:44.000 --> 01:50:48.000]  and a MacBook and to have those habits.
[01:50:48.000 --> 01:50:50.000]  Part of the habit of using a MacBook
[01:50:50.000 --> 01:50:52.000]  is that you just reach up to that function key row.
[01:50:52.000 --> 01:50:54.000]  And I think it's also part of the reason
[01:50:54.000 --> 01:50:56.000]  that the Touch Bar had so many people
[01:50:56.000 --> 01:50:58.000]  who actually outright despised it
[01:50:58.000 --> 01:51:01.000]  is that it just broke a habit in that way
[01:51:01.000 --> 01:51:03.000]  and replaced it with solutions
[01:51:03.000 --> 01:51:05.000]  that weren't as good for adjusting brightness.
[01:51:05.000 --> 01:51:06.000]  As clever as it was
[01:51:06.000 --> 01:51:08.000]  that you could just touch it and slide it,
[01:51:08.000 --> 01:51:09.000]  people didn't know that you could do it.
[01:51:09.000 --> 01:51:11.000]  It wasn't obvious that you could just touch it yet.
[01:51:11.000 --> 01:51:14.000]  People thought you had to tap it and then tap again.
[01:51:14.000 --> 01:51:16.000]  And you can't feel those buttons and click them.
[01:51:16.000 --> 01:51:18.000]  And people just wanna whack,
[01:51:18.000 --> 01:51:20.000]  just tap a button to silence it.
[01:51:20.000 --> 01:51:23.000]  All of a sudden a video starts playing sound.
[01:51:23.000 --> 01:51:24.000]  Just reach up with your finger
[01:51:24.000 --> 01:51:27.000]  and tap the button to silence it instantly.
[01:51:27.000 --> 01:51:29.000]  People want to do that.
[01:51:29.000 --> 01:51:31.000]  And not being able to do it with your iPad Pros
[01:51:31.000 --> 01:51:32.000]  continues to be frustrating.
[01:51:32.000 --> 01:51:33.000]  So the question is,
[01:51:33.000 --> 01:51:36.000]  why not have new keyboard for the iPad Pro?
[01:51:36.000 --> 01:51:37.000]  And I think the answer is
[01:51:37.000 --> 01:51:40.000]  that they've got a lot of these keyboards out there already.
[01:51:40.000 --> 01:51:45.000]  And I again suspect that there is a new keyboard
[01:51:45.000 --> 01:51:48.000]  coming for a new set of iPad Pro models
[01:51:48.000 --> 01:51:50.000]  and that's for later.
[01:51:50.000 --> 01:51:52.000]  And so you just have to use,
[01:51:52.000 --> 01:51:53.000]  because let's be honest,
[01:51:53.000 --> 01:51:57.000]  they would sell a bunch of these 300 and up keyboards
[01:51:57.000 --> 01:51:58.000]  if they added the function row.
[01:51:58.000 --> 01:52:00.000]  A bunch of people would buy it just to get the function row,
[01:52:00.000 --> 01:52:02.000]  but they're not prepared to do that
[01:52:02.000 --> 01:52:06.000]  because that's obviously a 2023 or beyond sort of thing.
[01:52:06.000 --> 01:52:08.000]  That's just the decision they made,
[01:52:08.000 --> 01:52:09.000]  not to turn over those.
[01:52:09.000 --> 01:52:11.000]  I mean, on one level it's good, right?
[01:52:11.000 --> 01:52:13.000]  Because like, don't make me buy another one of those.
[01:52:13.000 --> 01:52:14.000]  But on another level, it's sad
[01:52:14.000 --> 01:52:17.000]  because I would love a function row on my keyboard.
[01:52:17.000 --> 01:52:18.000]  I would too.
[01:52:18.000 --> 01:52:19.000]  And I also think most people would under,
[01:52:19.000 --> 01:52:20.000]  it'd be better to have one
[01:52:20.000 --> 01:52:23.000]  that you have to reach under the iPad to get to
[01:52:23.000 --> 01:52:24.000]  than not have it at all.
[01:52:24.000 --> 01:52:26.000]  So hopefully Apple has taken that to heart.
[01:52:26.000 --> 01:52:29.000]  I know that these briefings that we get are off the record
[01:52:29.000 --> 01:52:31.000]  and I agree, I always agree.
[01:52:31.000 --> 01:52:34.000]  And I'm gonna risk Apple PR's ire
[01:52:34.000 --> 01:52:38.000]  by subtly breaking this and quoting somebody from Apple.
[01:52:38.000 --> 01:52:40.000]  But one of the people I was in the briefing with
[01:52:40.000 --> 01:52:43.000]  asked whether the new iPad,
[01:52:43.000 --> 01:52:48.000]  regular iPad's magic keyboard folio comes in other colors
[01:52:48.000 --> 01:52:51.000]  and the person from Apple said, yes.
[01:52:51.000 --> 01:52:54.000]  You can get it in any color you want as long as it's white.
[01:52:54.000 --> 01:52:57.000]  Which I thought was, and we all laughed,
[01:52:57.000 --> 01:52:58.000]  but it is, it's only,
[01:52:58.000 --> 01:53:01.000]  so if you thought that the pro magic keyboard's
[01:53:01.000 --> 01:53:03.000]  only being available in a white and black
[01:53:03.000 --> 01:53:05.000]  or space gray or whatever they call it, graphite,
[01:53:05.000 --> 01:53:07.000]  whatever it's called, it's limiting.
[01:53:07.000 --> 01:53:08.000]  This one's only white.
[01:53:08.000 --> 01:53:11.000]  It carries forward one of the least favorite
[01:53:11.000 --> 01:53:15.000]  and to me baffling and least Apple-like decisions
[01:53:15.000 --> 01:53:17.000]  Apple has ever made in my lifetime,
[01:53:17.000 --> 01:53:20.000]  which is the fact that the right,
[01:53:20.000 --> 01:53:23.000]  the left bracket key is a full size key
[01:53:23.000 --> 01:53:26.000]  and the right bracket key is a half size key.
[01:53:26.000 --> 01:53:27.000]  Oh yeah.
[01:53:27.000 --> 01:53:30.000]  So that's the key, that's a square bracket
[01:53:30.000 --> 01:53:33.000]  or with shift a curly bracket,
[01:53:33.000 --> 01:53:35.000]  curly brace or whatever you wanna call it.
[01:53:35.000 --> 01:53:38.000]  Left one full size, right one half size.
[01:53:38.000 --> 01:53:41.000]  That's the same as with the 11 inch magic keyboard
[01:53:41.000 --> 01:53:43.000]  for the pros or the air.
[01:53:43.000 --> 01:53:45.000]  I find this decision to be so baffling
[01:53:45.000 --> 01:53:49.000]  and on Apple-like that clearly these two keys
[01:53:49.000 --> 01:53:53.000]  are siblings that should be given equal weight
[01:53:53.000 --> 01:53:55.000]  because anytime you use one,
[01:53:55.000 --> 01:53:58.000]  you eventually need to use the other.
[01:53:58.000 --> 01:54:02.000]  And so, and I get to that on this form factor,
[01:54:02.000 --> 01:54:06.000]  numerous keys need to be smaller than they would be
[01:54:06.000 --> 01:54:08.000]  because it is a compressed,
[01:54:08.000 --> 01:54:10.000]  because of the aspect ratio of the screen,
[01:54:10.000 --> 01:54:12.000]  it's actually a smaller, significantly smaller keyboard
[01:54:12.000 --> 01:54:15.000]  than even a 13 inch MacBook Air.
[01:54:15.000 --> 01:54:18.000]  And they're committed to keeping the letter,
[01:54:18.000 --> 01:54:21.000]  the letters and numbers to be full sized,
[01:54:21.000 --> 01:54:23.000]  which means everything else has to shrink.
[01:54:23.000 --> 01:54:26.000]  So why in the world they wouldn't just make
[01:54:26.000 --> 01:54:30.000]  both of those keys three quarter size, right?
[01:54:30.000 --> 01:54:33.000]  And there are three quarter size keys on this,
[01:54:33.000 --> 01:54:35.000]  like the option key instead of being,
[01:54:35.000 --> 01:54:37.000]  it's not half size, it's not full size,
[01:54:37.000 --> 01:54:39.000]  it's three quarter size.
[01:54:39.000 --> 01:54:44.000]  The tab key is slightly different than the option key.
[01:54:44.000 --> 01:54:47.000]  Well, and there's the backslash bar key there too.
[01:54:47.000 --> 01:54:49.000]  They could take all three of those and make them
[01:54:49.000 --> 01:54:54.000]  essentially fit in the two space as all the same size
[01:54:54.000 --> 01:54:55.000]  and they didn't do that.
[01:54:55.000 --> 01:54:56.000]  But at the very least,
[01:54:56.000 --> 01:54:59.000]  the two brace keys should be the same width,
[01:54:59.000 --> 01:55:02.000]  whether they each be two thirds or each be three quarters,
[01:55:02.000 --> 01:55:04.000]  or even if they were both half,
[01:55:04.000 --> 01:55:07.000]  even if they were both the smallest size,
[01:55:07.000 --> 01:55:08.000]  but they should be the same size.
[01:55:08.000 --> 01:55:11.000]  The asymmetry of those two keys for a company
