[00:00.000 --> 00:02.000]  fashionably late as always.
[1:41:42.000 --> 1:41:44.000]  They've got a great, great demo set up
[1:41:44.000 --> 1:41:46.000]  to show you all the new features far better
[1:41:46.000 --> 1:41:47.000]  than I could describe them.
[1:41:47.000 --> 1:41:52.000]  So go check them out at squarespace.com slash Gruber.
[1:41:52.000 --> 1:41:56.000]  So let's talk to Yosemite for the rest of the show.
[1:41:56.000 --> 1:41:59.000]  Sure, 140 in, let's start.
[1:41:59.000 --> 1:42:02.000]  My son calls it Yozamite.
[1:42:02.000 --> 1:42:03.000]  Yep.
[1:42:03.000 --> 1:42:05.000]  I'm the nickname of mine.
[1:42:05.000 --> 1:42:07.000]  I think he says.
[1:42:07.000 --> 1:42:08.000]  It's as exactly as funny.
[1:42:08.000 --> 1:42:10.000]  I didn't think about kids, but that was exactly
[1:42:10.000 --> 1:42:12.000]  what people said coming out at WWDC's.
[1:42:12.000 --> 1:42:14.000]  The keynote is people don't know how
[1:42:14.000 --> 1:42:15.000]  to spell Yosemite.
[1:42:15.000 --> 1:42:17.000]  People don't know what Yosemite is.
[1:42:17.000 --> 1:42:19.000]  And then when my son started talking about Yozamite,
[1:42:19.000 --> 1:42:23.000]  I was like, oh, well, it doesn't really matter.
[1:42:23.000 --> 1:42:25.000]  It's free.
[1:42:25.000 --> 1:42:27.000]  It's not like they need to sell it to people.
[1:42:27.000 --> 1:42:31.000]  I think the visual thing, if it is anything
[1:42:31.000 --> 1:42:33.000]  that maybe I thought you underplayed
[1:42:33.000 --> 1:42:36.000]  was talking about the visual redesign.
[1:42:36.000 --> 1:42:38.000]  Because I know you care,
[1:42:38.000 --> 1:42:41.000]  but it's also a hard thing to talk about.
[1:42:41.000 --> 1:42:42.000]  Do you think I underplayed?
[1:42:42.000 --> 1:42:44.000]  I spent a lot of words in that.
[1:42:44.000 --> 1:42:46.000]  It's like the longest section in their view.
[1:42:46.000 --> 1:42:48.000]  It could have been longer, in my opinion.
[1:42:52.000 --> 1:42:54.000]  Because I guess the other thing, too,
[1:42:54.000 --> 1:42:56.000]  is that you know that they're not,
[1:42:56.000 --> 1:42:58.000]  we're going to have something,
[1:42:58.000 --> 1:42:59.000]  they're going to improve it.
[1:42:59.000 --> 1:43:01.000]  And next year's we'll look a little better
[1:43:01.000 --> 1:43:02.000]  and it'll look a little better.
[1:43:02.000 --> 1:43:04.000]  But I think this is basically
[1:43:04.000 --> 1:43:06.000]  what we're looking at for the next,
[1:43:06.000 --> 1:43:10.000]  you know, at least probably a decade on the Mac.
[1:43:12.000 --> 1:43:14.000]  Yeah, probably.
[1:43:14.000 --> 1:43:17.000]  I forget what I put in my review and what I cut,
[1:43:17.000 --> 1:43:20.000]  but one of the things I mentioned in the most recent ATPs,
[1:43:20.000 --> 1:43:22.000]  this is the thing that Apple does
[1:43:22.000 --> 1:43:26.000]  when they have a new fancy design that they like.
[1:43:26.000 --> 1:43:27.000]  They did it with iOS 7,
[1:43:27.000 --> 1:43:29.000]  they did it with the original Aqua
[1:43:29.000 --> 1:43:32.000]  and 10, they did it with the various looks
[1:43:32.000 --> 1:43:34.000]  in between like brush metal.
[1:43:34.000 --> 1:43:37.000]  They tend to err on the side of going too far.
[1:43:37.000 --> 1:43:38.000]  Yeah.
[1:43:38.000 --> 1:43:39.000]  With the look.
[1:43:39.000 --> 1:43:42.000]  And then they back it off later in response to complaints.
[1:43:42.000 --> 1:43:44.000]  And so like iOS 7 is the most recent memory
[1:43:44.000 --> 1:43:46.000]  where they have a super thin fonts.
[1:43:46.000 --> 1:43:48.000]  And everything was just, you know,
[1:43:48.000 --> 1:43:50.000]  maybe a little bit too precious.
[1:43:50.000 --> 1:43:52.000]  And the parallax effect and the zoom and everything.
[1:43:52.000 --> 1:43:54.000]  And so you add the thing to reduce motion.
[1:43:54.000 --> 1:43:56.000]  You're thicken up the font a little bit.
[1:43:56.000 --> 1:43:57.000]  And you make adjustments.
[1:43:57.000 --> 1:43:59.000]  And that was mostly done before release.
[1:43:59.000 --> 1:44:02.000]  With Aqua, original version of 10, 10
[1:44:02.000 --> 1:44:04.000]  just crazy pinstripes everywhere.
[1:44:04.000 --> 1:44:07.000]  Super glossy and likable, all faded and soft lighting
[1:44:07.000 --> 1:44:09.000]  like everything was shot with Vaseline on the lens.
[1:44:09.000 --> 1:44:11.000]  And they backed that off over years
[1:44:11.000 --> 1:44:13.000]  hardening up the edges,
[1:44:13.000 --> 1:44:14.000]  towing down the pinstripes.
[1:44:14.000 --> 1:44:17.000]  And then brush metal came in and everything was freaking metal.
[1:44:17.000 --> 1:44:19.000]  The version of towing that down was getting rid of it.
[1:44:19.000 --> 1:44:22.000]  But like going too far and then backing off
[1:44:22.000 --> 1:44:23.000]  is preferable to them.
[1:44:23.000 --> 1:44:25.000]  It seems then not going far enough like being timid.
[1:44:25.000 --> 1:44:27.000]  So your somebody is,
[1:44:27.000 --> 1:44:29.000]  and I kind of bemoan that in the review
[1:44:29.000 --> 1:44:31.000]  or the part that I cut from the review.
[1:44:31.000 --> 1:44:33.000]  I don't know what's in there anymore.
[1:44:33.000 --> 1:44:35.000]  It's saying like wouldn't it be nice
[1:44:35.000 --> 1:44:37.000]  if we could skip that part where they go too far
[1:44:37.000 --> 1:44:39.000]  and just go right to the part
[1:44:39.000 --> 1:44:40.000]  where they tone it down a little bit.
[1:44:40.000 --> 1:44:42.000]  And maybe they feel like they don't know where they need
[1:44:42.000 --> 1:44:43.000]  to tone it down.
[1:44:43.000 --> 1:44:45.000]  Like the checkbox to make the menu bar not translucent
[1:44:45.000 --> 1:44:47.000]  because the translucent menu bar,
[1:44:47.000 --> 1:44:48.000]  the original one and leopard,
[1:44:48.000 --> 1:44:49.000]  which is crazy translucent.
[1:44:49.000 --> 1:44:50.000]  It made everything unreachable.
[1:44:50.000 --> 1:44:53.000]  And now they feel like they have the confidence that like,
[1:44:53.000 --> 1:44:55.000]  well, this menu bar won't be unreachable
[1:44:55.000 --> 1:44:56.000]  because we have this crazy algorithm
[1:44:56.000 --> 1:44:58.000]  that will blur everything together
[1:44:58.000 --> 1:44:59.000]  and is aware of contrast.
[1:44:59.000 --> 1:45:00.000]  And it will just look muddy and indistinct
[1:45:00.000 --> 1:45:02.000]  but it won't be unreadable.
[1:45:02.000 --> 1:45:04.000]  So no more checkbox to disable that.
[1:45:04.000 --> 1:45:06.000]  And it's like, you know,
[1:45:06.000 --> 1:45:09.000]  there are places where they went too far in this
[1:45:09.000 --> 1:45:12.000]  and there are a bunch of adjustments that are already there
[1:45:12.000 --> 1:45:14.000]  but none of them sort of,
[1:45:14.000 --> 1:45:16.000]  none of them tune it to be the way
[1:45:16.000 --> 1:45:18.000]  we hope it's going to be in the next two revisions.
[1:45:18.000 --> 1:45:19.000]  Yeah, that's it.
[1:45:19.000 --> 1:45:21.000]  A few hours before the show started,
[1:45:21.000 --> 1:45:24.000]  I linked to Koi Ven's review of Yosemite,
[1:45:24.000 --> 1:45:27.000]  focusing solely on the appearance.
[1:45:27.000 --> 1:45:28.000]  And I know you heard my feeling
[1:45:28.000 --> 1:45:30.000]  and you said it was your favorite.
[1:45:30.000 --> 1:45:32.000]  Well, I thought yours doesn't even count.
[1:45:32.000 --> 1:45:33.000]  I mean, yours is...
[1:45:33.000 --> 1:45:34.000]  No, no.
[1:45:34.000 --> 1:45:36.000]  Anyway, yeah, no, I read his thing
[1:45:36.000 --> 1:45:37.000]  when he originally posted,
[1:45:37.000 --> 1:45:39.000]  but yeah, I mean, it's a similar sentiment.
[1:45:39.000 --> 1:45:41.000]  Yeah, it was 10 Balboa
[1:45:41.000 --> 1:45:42.000]  and it was 10 Palisades.
[1:45:42.000 --> 1:45:43.000]  It kind of looked great.
[1:45:43.000 --> 1:45:45.000]  And I think that is totally true.
[1:45:45.000 --> 1:45:47.000]  I'm basically on board,
[1:45:47.000 --> 1:45:50.000]  completely with the basic style
[1:45:50.000 --> 1:45:52.000]  but there's definitely some toning back
[1:45:52.000 --> 1:45:53.000]  that I think needs to be done.
[1:45:53.000 --> 1:45:55.000]  Also, my big complaint
[1:45:55.000 --> 1:45:57.000]  that I just complained about ATP
[1:45:57.000 --> 1:45:59.000]  was the transparency effect.
[1:45:59.000 --> 1:46:01.000]  I spent a lot of time explaining
[1:46:01.000 --> 1:46:03.000]  what the different kinds of transparency are,
[1:46:03.000 --> 1:46:04.000]  how they work,
[1:46:04.000 --> 1:46:06.000]  and then here's how they're deployed in the OS.
[1:46:06.000 --> 1:46:08.000]  And all the stuff about the rearrangements
[1:46:08.000 --> 1:46:09.000]  of the UI stuff like that.
[1:46:09.000 --> 1:46:11.000]  And then I had this whole section called philosophy
[1:46:11.000 --> 1:46:13.000]  which is I kind of tried to isolate the part
[1:46:13.000 --> 1:46:15.000]  where I'm going to try to unpack this.
[1:46:15.000 --> 1:46:16.000]  Here's what it is,
[1:46:16.000 --> 1:46:17.000]  here's what it's looked like,
[1:46:17.000 --> 1:46:18.000]  here's where they use it,
[1:46:18.000 --> 1:46:19.000]  and then it's like why?
[1:46:19.000 --> 1:46:21.000]  Why is this there at all?
[1:46:21.000 --> 1:46:23.000]  What is it about what's behind my menu bar
[1:46:23.000 --> 1:46:25.000]  that adds to my life?
[1:46:25.000 --> 1:46:26.000]  Why do I need to see that?
[1:46:26.000 --> 1:46:28.000]  Why do I need to see any of that?
[1:46:28.000 --> 1:46:29.000]  Right?
[1:46:29.000 --> 1:46:32.000]  Because there's always some kind of philosophy behind it.
[1:46:32.000 --> 1:46:34.000]  Like the original Aqua,
[1:46:34.000 --> 1:46:36.000]  it was like transient elements
[1:46:36.000 --> 1:46:37.000]  where a translucent.
[1:46:37.000 --> 1:46:40.000]  So sheets just appear briefly and go away.
[1:46:40.000 --> 1:46:42.000]  Drop down menus, appear briefly and go away.
[1:46:42.000 --> 1:46:44.000]  Those are translucent.
[1:46:44.000 --> 1:46:46.000]  It's a temporary thing.
[1:46:46.000 --> 1:46:48.000]  And there's a logic to it.
[1:46:48.000 --> 1:46:49.000]  Right, but on the other hand,
[1:46:49.000 --> 1:46:50.000]  the dock which was always there
[1:46:50.000 --> 1:46:51.000]  was also translucent.
[1:46:51.000 --> 1:46:52.000]  So it's just like, well,
[1:46:52.000 --> 1:46:53.000]  a few translucents.
[1:46:53.000 --> 1:46:54.000]  He's cool, right?
[1:46:54.000 --> 1:46:56.000]  So, and here, like,
[1:46:56.000 --> 1:46:58.000]  you know, several times I've asked Apple
[1:46:58.000 --> 1:46:59.000]  about the effects
[1:46:59.000 --> 1:47:00.000]  and during the different keynotes
[1:47:00.000 --> 1:47:01.000]  they've said,
[1:47:01.000 --> 1:47:02.000]  here's why we do it.
[1:47:02.000 --> 1:47:03.000]  And they have reasons behind them.
[1:47:03.000 --> 1:47:04.000]  And I have to look at those reasons
[1:47:04.000 --> 1:47:05.000]  and say like,
[1:47:05.000 --> 1:47:07.000]  is this a reason for you to
[1:47:07.000 --> 1:47:09.000]  pollute all of my side bars
[1:47:09.000 --> 1:47:11.000]  with the color of the desktop background?
[1:47:11.000 --> 1:47:14.000]  Like, sometimes the justification can work out,
[1:47:14.000 --> 1:47:16.000]  but other times I don't buy it.
[1:47:16.000 --> 1:47:18.000]  Like the whole thing of making the,
[1:47:18.000 --> 1:47:20.000]  you know, the temperature and mood
[1:47:20.000 --> 1:47:21.000]  of your desktop background
[1:47:21.000 --> 1:47:23.000]  influenced the look of your iOS sounds like.
[1:47:23.000 --> 1:47:25.000]  It's a thing that happens.
[1:47:25.000 --> 1:47:26.000]  It works.
[1:47:26.000 --> 1:47:28.000]  If you have a super orange desktop background,
[1:47:28.000 --> 1:47:30.000]  all of your, you know,
[1:47:30.000 --> 1:47:32.000]  behind window blending translucent regions
[1:47:32.000 --> 1:47:34.000]  are going to have a tinge of orange in them.
[1:47:34.000 --> 1:47:36.000]  Your menu bar is going to be tinged orange.
[1:47:36.000 --> 1:47:37.000]  All of them and you pull down
[1:47:37.000 --> 1:47:39.000]  are going to be tinged orange, right?
[1:47:39.000 --> 1:47:41.000]  But, like,
[1:47:41.000 --> 1:47:43.000]  I didn't, you know,
[1:47:43.000 --> 1:47:45.000]  that aspect of personalization.
[1:47:45.000 --> 1:47:47.000]  Like, it maybe just flies
[1:47:47.000 --> 1:47:49.000]  in the face of a traditional or whatever.
[1:47:49.000 --> 1:47:50.000]  Like, if I have a desktop picture
[1:47:50.000 --> 1:47:51.000]  that I want,
[1:47:51.000 --> 1:47:52.000]  I want my gleaming beautiful
[1:47:52.000 --> 1:47:53.000]  to be on top of it.
[1:47:53.000 --> 1:47:54.000]  I don't want that desktop picture.
[1:47:54.000 --> 1:47:55.000]  Like, I may like it
[1:47:55.000 --> 1:47:56.000]  because it's a nice picture.
[1:47:56.000 --> 1:47:57.000]  I like it.
[1:47:57.000 --> 1:47:58.000]  But what I don't like
[1:47:58.000 --> 1:47:59.000]  is it's contribution
[1:47:59.000 --> 1:48:01.000]  to the sidebar
[1:48:01.000 --> 1:48:02.000]  of my email client
[1:48:02.000 --> 1:48:03.000]  that now looks like a muddy,
[1:48:03.000 --> 1:48:05.000]  rusty tinged orange thing
[1:48:05.000 --> 1:48:06.000]  whereas before it was crisp text
[1:48:06.000 --> 1:48:08.000]  on top of a background color
[1:48:08.000 --> 1:48:09.000]  that the app designer had.
[1:48:09.000 --> 1:48:10.000]  Yeah.
[1:48:10.000 --> 1:48:11.000]  It changes what it means
[1:48:11.000 --> 1:48:12.000]  to pick a desktop picture
[1:48:12.000 --> 1:48:13.000]  because before it was,
[1:48:13.000 --> 1:48:14.000]  okay, what do I want to see
[1:48:14.000 --> 1:48:15.000]  when I've got nothing open?
[1:48:15.000 --> 1:48:16.000]  Like, I'm done.
[1:48:16.000 --> 1:48:17.000]  Like, let's say,
[1:48:17.000 --> 1:48:18.000]  as you complete your,
[1:48:18.000 --> 1:48:19.000]  what you have to do today,
[1:48:19.000 --> 1:48:20.000]  you keep closing windows
[1:48:20.000 --> 1:48:21.000]  and your closing tabs
[1:48:21.000 --> 1:48:23.000]  and, you know, you can quit your email
[1:48:23.000 --> 1:48:24.000]  because I'm not going to check it again.
[1:48:24.000 --> 1:48:25.000]  And now I've got nothing
[1:48:25.000 --> 1:48:27.000]  and I'm looking at my desktop
[1:48:27.000 --> 1:48:28.000]  and this is a picture
[1:48:28.000 --> 1:48:30.000]  that makes me happy.
[1:48:30.000 --> 1:48:31.000]  That's all you had to do
[1:48:31.000 --> 1:48:33.000]  when you chose your desktop.
[1:48:33.000 --> 1:48:35.000]  Now you've got to pick something
[1:48:35.000 --> 1:48:36.000]  that's going to make,
[1:48:36.000 --> 1:48:37.000]  like you said,
[1:48:37.000 --> 1:48:38.000]  like make the sidebar
[1:48:38.000 --> 1:48:39.000]  in your email client look good
[1:48:39.000 --> 1:48:41.000]  when you don't even see the desktop.
[1:48:41.000 --> 1:48:42.000]  And then this is a point
[1:48:42.000 --> 1:48:44.000]  I have to put it in ATP terms.
[1:48:44.000 --> 1:48:45.000]  I have to do some follow up
[1:48:45.000 --> 1:48:46.000]  because when Guy was on last
[1:48:46.000 --> 1:48:47.000]  week, Guy English
[1:48:47.000 --> 1:48:48.000]  and we talked about this,
[1:48:48.000 --> 1:48:50.000]  we clearly confused the hell
[1:48:50.000 --> 1:48:52.000]  out of a lot of people.
[1:48:52.000 --> 1:48:53.000]  Because we were talking
[1:48:53.000 --> 1:48:55.000]  about the way that if you have
[1:48:55.000 --> 1:48:57.000]  like a stack of white windows,
[1:48:57.000 --> 1:48:59.000]  just like text data documents.
[1:48:59.000 --> 1:49:00.000]  And then you have like
[1:49:00.000 --> 1:49:02.000]  mail in front of them.
[1:49:02.000 --> 1:49:04.000]  And the sidebar of mail
