[00:00.000 --> 00:03.640]  So live in life one I'll tell you yeah, you know
[1:51:36.220 --> 1:51:39.340]  You saw the icon on the home screen and you knew well done. It's calculator
[1:51:39.980 --> 1:51:46.300]  I still think like to me it's crazy that like there's all these apps on the home screen of the watch that they still haven't
[1:51:47.020 --> 1:51:48.780]  Told us what they do
[1:51:48.780 --> 1:51:52.700]  Like right out of the box. Yeah, there's a bunch of them like get the app store
[1:51:52.700 --> 1:51:56.060]  Forget you know for you know, which I do think is important and it's you know
[1:51:56.780 --> 1:51:59.500]  Sent key to the success of the thing long-term as a platform
[1:51:59.500 --> 1:52:04.380]  But I'm just saying as an Apple watch user you buy it you bring it home you put it on your wrist
[1:52:04.380 --> 1:52:07.580]  And there's a bunch of apps on the home screen and they still haven't explained them
[1:52:08.380 --> 1:52:10.380]  I'm really surprised by that
[1:52:10.860 --> 1:52:14.060]  And disappointed honestly Tim Cook did mention it
[1:52:14.060 --> 1:52:20.060]  He said you know like one of our team members who's wearing it loves using his watch to take pictures remotely
[1:52:20.060 --> 1:52:23.740]  But they didn't show it. I can't believe they didn't show it such a visual thing too
[1:52:24.540 --> 1:52:28.540]  Like I just I just kind of feel like however many icons
[1:52:28.540 --> 1:52:35.180]  There are on the home screen out of the box. They need to be justified explained to us. Why why they're there
[1:52:36.060 --> 1:52:41.820]  You know, and I guess you know, I don't know to me there's a and maybe it's justified maybe they're
[1:52:42.780 --> 1:52:49.500]  It's gonna say arrogance. You know is justified that they're they know that it people will buy it and people will figure it out on their own
[1:52:50.060 --> 1:52:56.940]  But I'm surprised because to me that's what that to me is how they that that's why I say that it felt like two different events
[1:52:56.940 --> 1:53:00.540]  It like the first half focused on the MacBook
[1:53:01.100 --> 1:53:10.300]  Did exactly what Apple to me always does the hallmark of it is that they here's here's everything that's different and knew about this here's why and?
[1:53:11.420 --> 1:53:13.980]  You know the trackpad the keys the
[1:53:15.260 --> 1:53:18.460]  You know the new screen technology the lack of ports, you know
[1:53:19.020 --> 1:53:21.340]  They're going away, you know, we do everything wirelessly now
[1:53:21.340 --> 1:53:27.740]  And we've you know done this amazing battery stuff to make it all work and shrunk them other board and got rid of the fans
[1:53:27.740 --> 1:53:29.100]  So that we had room for batteries boom
[1:53:29.100 --> 1:53:34.780]  They explained it all whereas the watch they're not doing that at all and I don't want to read too much into it because I really have no idea
[1:53:34.780 --> 1:53:37.900]  Behind the scenes who does what but it
[1:53:38.700 --> 1:53:45.260]  From the outside externally. It's interesting to me that Shiller has had nothing to do with the watch on stage
[1:53:46.940 --> 1:53:48.940]  And I don't know that is interesting
[1:53:48.940 --> 1:53:58.940]  You know, I just I just couldn't I can't see him doing a presentation like this where it's not explained and I again
[1:53:59.100 --> 1:54:01.340]  I'm not trying to say that there's any kind of
[1:54:02.620 --> 1:54:06.380]  Controversy inside Apple about it. Maybe he helped you know for all I know
[1:54:06.940 --> 1:54:11.180]  He was right there and stage directed everything about the watch thing even though he wasn't doing it
[1:54:11.180 --> 1:54:13.580]  I don't know, but it just is interesting to me
[1:54:13.980 --> 1:54:18.060]  No, I note to me it felt like a different tone and a different style of presentation
[1:54:18.060 --> 1:54:21.580]  And it's interesting that Shiller had nothing to do with it at either event
[1:54:22.620 --> 1:54:26.780]  It is interesting and it does it is against his sort of presentation style
[1:54:27.100 --> 1:54:32.540]  Not to say this is what it is and explain it in in sort of enough detail
[1:54:33.260 --> 1:54:38.620]  But not too much to kind of get the point across why a it's special and b you'd want to use it
[1:54:39.180 --> 1:54:43.340]  Right, yeah, and that that I think was missing from the watch. I have you know
[1:54:43.340 --> 1:54:44.860]  I had this theory and I'll float it here
[1:54:44.860 --> 1:54:50.380]  I was gonna write about it, but I'll float it here for the first time you can tell me what you think so I have this theory about the whole use case scenario
[1:54:50.860 --> 1:54:55.500]  Obviously, I think time saved is an initial metric to look at you know when you get a watch
[1:54:56.300 --> 1:55:00.620]  Do I'm gonna try to do this myself? I'm gonna try to like gauge how many times I look at my phone during the day
[1:55:00.940 --> 1:55:05.740]  And then I'm gonna get the watch put it on and then measure how many times to look at the phone after that
[1:55:05.740 --> 1:55:10.380]  And then see what the differential is. I think that would be an interesting metric to look at right
[1:55:11.260 --> 1:55:13.260]  But beyond that so that's the initial thing
[1:55:13.260 --> 1:55:19.900]  My theory is is that they have another strong use case for this, but it depends on
[1:55:21.020 --> 1:55:23.020]  third party
[1:55:23.420 --> 1:55:27.420]  Buy in and time so they can't talk about it yet
[1:55:27.900 --> 1:55:34.380]  And that use case is that the apple watch becomes a a tube of lubricant for your life
[1:55:35.260 --> 1:55:40.620]  So you have the watch on your wrist you walk up to your car and your car unlocks
[1:55:40.620 --> 1:55:43.980]  With either a confirmation tap or just by proximity
[1:55:44.380 --> 1:55:48.940]  Then you probably a tap I would guess because you want confirmation of a secure thing unlocking
[1:55:49.180 --> 1:55:54.060]  Then you get in your car and your watch tells your your apple your car play
[1:55:54.700 --> 1:55:58.860]  Display that you want to listen to this music and this is you in the car
[1:55:58.860 --> 1:56:02.380]  So you can adjust your seats or whatever the case may be to you
[1:56:03.180 --> 1:56:09.260]  And it loads up your navigation for your morning drive on your apple maps because it knows this is the time
[1:56:09.260 --> 1:56:14.460]  You go to work or you go to school or whatever the case may be you you drive you stop at a gas station
[1:56:14.860 --> 1:56:18.700]  You get out you walk in you pay for coffee with your apple watch
[1:56:19.180 --> 1:56:22.380]  You walk out you get into your car you drive to school
[1:56:22.620 --> 1:56:28.220]  You get out you walk in you hand in your homework by tapping your apple watch a couple times to transmit your
[1:56:28.780 --> 1:56:32.860]  Your homework to your teacher you sit down you cheat on your test with your apple watch
[1:56:33.500 --> 1:56:38.700]  You know you get the gist right like you right this these these lubricants
[1:56:38.700 --> 1:56:41.420]  We'll add up to once again
[1:56:41.420 --> 1:56:43.100]  It's this a time-saving theme
[1:56:43.260 --> 1:56:49.660]  But they sort of allow you to kind of do this and the model for this is the magic band right at the Disneyland or Disney World
[1:56:50.220 --> 1:56:57.340]  Where they have this band that has NFC and Bluetooth in it and it's your wallet and it's your ticket to the park
[1:56:57.340 --> 1:57:01.100]  And it's your fast pass will still allows you to jump the line and it's your
[1:57:01.900 --> 1:57:07.820]  Your signal that tells a cast member that you're nearby and they can come up with the personalized offer like oh
[1:57:07.820 --> 1:57:10.620]  Hi Matthew would you like to meet Cinderella? She's right over here
[1:57:11.020 --> 1:57:15.100]  You know all of that stuff and I think that there's a lot of fear involved in that
[1:57:15.180 --> 1:57:19.580]  There's also a lot of possibility and I think that that may be is their long game here
[1:57:19.660 --> 1:57:24.460]  But they can't talk about it yet because they have to have the buy-in from the car manufacturers and from the
[1:57:24.700 --> 1:57:27.180]  POS and from the you know etc etc etc
[1:57:27.580 --> 1:57:32.620]  Yeah, I I I agree with that. I think that calling it
[1:57:32.620 --> 1:57:37.900]  What social lubricant or life lubricant
[1:57:39.180 --> 1:57:43.980]  I gotta refine that because yeah, but yeah, it is. I think that that's the scenario
[1:57:45.180 --> 1:57:51.740]  I also think that maybe more than time-saved what they're trying to pitch it at and this to me
[1:57:51.820 --> 1:57:57.500]  It's you know, it's very it's not any different than any other smartwatch in terms of the mission statement
[1:57:57.500 --> 1:58:04.700]  Which is to me attention-saved that it takes less of your attention to glance at your watch than it does to glance at your phone
[1:58:06.620 --> 1:58:09.020]  Johnny I've had an interesting quote in the
[1:58:09.500 --> 1:58:14.140]  Financial Times interview or feature that he that came out a week ago
[1:58:14.620 --> 1:58:22.300]  Where he said something about with a traditional watch that he noticed that many times he'd glance at his wrist to check the time
[1:58:23.020 --> 1:58:25.820]  and then realize that he hadn't even really
[1:58:25.820 --> 1:58:32.540]  noticed the time and had you'd have to look twice because like the first time he paid was paying so little attention that it didn't even
[1:58:32.860 --> 1:58:34.860]  register
[1:58:35.180 --> 1:58:39.500]  That that's how lightweight a watch can be that you can almost pay
[1:58:40.300 --> 1:58:42.300]  Not enough attention and have to check twice
[1:58:43.260 --> 1:58:45.260]  And that that's interesting
[1:58:45.260 --> 1:58:47.100]  And I do think that's sort of where they're going
[1:58:47.100 --> 1:58:52.220]  But on the other hand that pitch is no different than the pitch friend right where or for pebble or friend
[1:58:52.220 --> 1:59:00.140]  Yeah, right right and the only difference is is that it's our thing and so we're going to make it easier than their thing
[1:59:01.500 --> 1:59:08.700]  Yeah, you know the communication angle is all Apple the sending a doodle sending a heartbeat sending a tap is that's
[1:59:09.740 --> 1:59:17.980]  You know nobody else has anything like that and it's very intimate and personal the notification thing is like the obvious feature that everybody is thought of
[1:59:17.980 --> 1:59:22.940]  Right right I agree so and I mean the reason
[1:59:23.500 --> 1:59:28.940]  Just the very fact that we're having to dissect this makes me think that maybe they didn't communicate these things as clearly as they could
[1:59:29.500 --> 1:59:34.940]  You know they could I one of the things they showed and I know that they've said this in people to notice that so for example
[1:59:34.940 --> 1:59:40.700]  Somebody sends you a text and it will show up on your watch and you can respond either
[1:59:41.500 --> 1:59:43.500]  Like I think three ways
[1:59:43.500 --> 1:59:50.460]  It's like you hit respond and it'll try to give you a couple of guesses in a button. You know in the example being
[1:59:51.740 --> 1:59:53.740]  You know, I'm at the supermarket and I could
[1:59:55.100 --> 1:59:56.620]  Text my wife
[1:59:56.620 --> 2:00:01.260]  You know the shopping list just says butter and I could say salted or unsalted butter
