[00:00.000 --> 00:04.520]  In the old days if if I were gonna have a show it would we would have to be together
[01:41:22.720 --> 01:41:25.720]  But I feel like that animation should be very fast.
[01:41:25.720 --> 01:41:38.720]  Right. And just playing around with it now, like, so I think Apple did a good job, sort of, if you use Command Tab, which you can use if you have the keyboard, you know, hooked up to the iPad, it's actually very fast.
[01:41:38.720 --> 01:41:48.720]  It's pretty good. But if you just do the double click of the home button, it's still sort of like a slowish zoom out, and then you click on the one you want, and then it's a slowish zoom in.
[01:41:48.720 --> 01:41:59.720]  And then the worst of all, maybe, and I don't know, I assume very few people actually use this, but you know, you can do the four finger sort of swipe thing and go from sort of app to app that way.
[01:41:59.720 --> 01:42:02.720]  And it's just like unnecessarily slow.
[01:42:02.720 --> 01:42:08.720]  So yeah, I almost never use that as a result of that. But that's currently, I guess, the state of the art.
[01:42:08.720 --> 01:42:13.720]  The only other thing I was going to add to the iPad discussion, since we were talking about sort of newer ones.
[01:42:13.720 --> 01:42:23.720]  So the Pro that I'm using now still feels super fast, the newer 9.7 Pro super fast, but I will say the iPad Mini is a little slow these days.
[01:42:23.720 --> 01:42:32.720]  I still use it for, you know, for certain times reading, take it out with me since it's nice and small, but that's pretty slow.
[01:42:32.720 --> 01:42:38.720]  And I know that there was some debate back and forth whether or not they would actually just sort of get rid of that product.
[01:42:38.720 --> 01:42:40.720]  And I hope they don't. But anyway.
[01:42:40.720 --> 01:42:49.720]  I wonder because it does stick out now because it's actually at an entry level, it's more expensive than the new 9.7.
[01:42:49.720 --> 01:42:56.720]  It does have more storage, so it's not completely inexplicable why it's more expensive.
[01:42:56.720 --> 01:43:02.720]  But it does seem weird because up until this most recent introduction of the quote new 9.7 inch iPad,
[01:43:02.720 --> 01:43:10.720]  there was a correlation in cost between, okay, the small one is the cheapest, the mid-sized one is mid-priced, and the new big one is the most expensive.
[01:43:10.720 --> 01:43:16.720]  And now all of a sudden there's a weird situation where if you're budget conscious, you're going to get the 9.7 inch,
[01:43:16.720 --> 01:43:24.720]  not the, you know, you're seemingly getting more of a device than you are, you know, for $329 than you would at $399 for the Mini.
[01:43:24.720 --> 01:43:28.720]  And it's also, it's been over two years, right, since it's been updated at this point.
[01:43:28.720 --> 01:43:33.720]  Yeah. I don't know if it's done, though. I don't know. I mean, it's hard to say. I don't know.
[01:43:33.720 --> 01:43:39.720]  I guess it really comes down to how many people are buying it. I mean, Apple knows that and isn't going to tell us.
[01:43:39.720 --> 01:43:44.720]  But I wouldn't be surprised either way. I wouldn't be surprised if it gets a very quiet update,
[01:43:44.720 --> 01:43:52.720]  more or less like with the specs of the quote new 9.7 inch iPad, just in the smaller size, and it just sits there.
[01:43:52.720 --> 01:43:58.720]  I mean, I don't know. Who knows if they could lower the price, but, you know, maybe.
[01:43:58.720 --> 01:44:03.720]  And I would be surprised if it just never gets updated and two years from now it just goes away.
[01:44:03.720 --> 01:44:08.720]  That it sort of got killed by the plus sized iPhones.
[01:44:08.720 --> 01:44:15.720]  Right. And yeah, especially if, you know, when the, if and when this new top of the line iPhone comes out,
[01:44:15.720 --> 01:44:20.720]  if that even makes it even more of sort of a glaring discrepancy between them.
[01:44:20.720 --> 01:44:26.720]  And I wonder, I can't help but think that the pro uses, like I don't think there's ever going to be an iPad mini pro.
[01:44:26.720 --> 01:44:32.720]  I just don't. I don't think they're going to make a keyboard that small. I think it would be would really take child.
[01:44:32.720 --> 01:44:36.720]  I did get one of those keyboards that was like the Logitech one that you could use with it.
[01:44:36.720 --> 01:44:41.720]  It was so ridiculously small. Not very useful.
[01:44:41.720 --> 01:44:46.720]  It is good, though, as a like a reader, you know, like it because it is.
[01:44:46.720 --> 01:44:51.720]  And so if you really do just read, but maybe their thinking is that for the people who do use it, they mostly just read.
[01:44:51.720 --> 01:44:57.720]  And it doesn't matter if it's long in the tooth and a little slow at this point. I don't know. Yeah.
[01:44:57.720 --> 01:45:03.720]  But I can't see him adding a smart connector and having a keyboard for it.
[01:45:03.720 --> 01:45:09.720]  Yeah, just it. It's too small of a screen size to actually make an ergonomic keyboard.
[01:45:09.720 --> 01:45:14.720]  And all you have to do is play with Logitech one for five seconds to know that.
[01:45:14.720 --> 01:45:23.720]  I talked about this before. I still think it's interesting that the Apple, when they when they had me, they had a briefing for the new iPad and Clips app and stuff.
[01:45:23.720 --> 01:45:30.720]  And I went up to New York and saw it. They they don't have a special keyboard for the new nine point seven inch iPad.
[01:45:30.720 --> 01:45:40.720]  But in collaboration with Logitech, they're supporting this Logitech case slash keyboard, which is sort of it's very thick.
[01:45:40.720 --> 01:45:51.720]  It's like rugged, but it's you know, you can totally see if you think about it in the context of like a K12 school, you think, oh, yeah, I can see why they would love that, because it looks like something that would easily survive like a drop.
[01:45:51.720 --> 01:46:00.720]  But one of the reasons it's important is that you put it in this case, you put the iPad in this case that's totally surrounded and it has a lightning port inside.
[01:46:00.720 --> 01:46:05.720]  And I don't know if it has a battery or not, but that means that it's not a Bluetooth connection to the keyboard.
[01:46:05.720 --> 01:46:22.720]  It's a hardware connection to the keyboard through lightning. And that's essential for K12 because all of the standardized tests that take place on a computer, it's mandated that there's no wireless connectivity.
[01:46:22.720 --> 01:46:34.720]  And you can understand, you know, it's I see I get it. No wireless whatsoever. It's like complete airplane mode. Otherwise, the software detects that you're not in airplane mode and won't run.
[01:46:34.720 --> 01:46:36.720]  And I can totally see why Apple did that.
[01:46:36.720 --> 01:46:43.720]  I feel like if a kid can cheat via Bluetooth, that would be pretty impressive. But yeah, I understand.
[01:46:43.720 --> 01:46:50.720]  From what I mentioned this the other week on the show with Dan Fromer, he said that he and his friends used to, I forget if he said PalmPilots, I forget what they had.
[01:46:50.720 --> 01:46:55.720]  But when he was in high school, they had something and they were IRing their cheats to each other.
[01:46:55.720 --> 01:47:04.720]  Oh, I wonder if they, I remember like, you know, remember like the TI calculus, the Texas Instruments, sort of scientific calculators.
[01:47:04.720 --> 01:47:11.720]  We used to have all sorts of fun things on that. I think you could run Doom, like an emulator to run Doom on it and some other fun stuff.
[01:47:11.720 --> 01:47:23.720]  Yeah, you're too young. You're too young for me. I didn't have anything of that capability, but we had calculators that had, they just had the numeric display, but you could type letters in them too.
[01:47:23.720 --> 01:47:34.720]  But it was a one row and it had like memory functions. And so our cheat, our way of cheating was to put the briefest possible cheat notes in those memory functions.
[01:47:34.720 --> 01:47:42.720]  And then you would bring them up and instead of just being numbers, it would, you know, be some sort of like 32 character. Oh yeah, that's how you, you know, that's how you do it.
[01:47:42.720 --> 01:47:47.720]  Yep. Yeah. Children find a way, no matter the technology.
[01:47:47.720 --> 01:47:49.720]  Anything else that you want to talk about?
[01:47:49.720 --> 01:48:05.720]  The only other thing, and we can sort of briefly talk about it, just because I did think it was interesting. You had sort of a shortest rant in linking to something and it does relate directly, maybe to some of the iPad stuff we were just talking about, is the app bundle size thing.
[01:48:05.720 --> 01:48:14.720]  Because there was also like, you and I had a, not really back and forth, I responded to you and they both got a ton of, yours and mine both got a ton of likes because I think this resonates with people.
[01:48:14.720 --> 01:48:27.720]  You were talking about in that tweet, the Dropbox app, like why is it 260 megabytes or whatever? And then in your linked posts, you were talking about the, someone wrote a breakdown of why the Facebook app is so big now, right?
