[00:00.000 --> 00:04.520]  Still there. Oh, yeah, you know what it did it. Oh, you sound so much better
[01:27:15.860 --> 01:27:22.300]  No, not at all, even though to me it's actually just it's the same thing right? Yeah. No. Yeah, it didn't bother him. Nope
[01:27:22.820 --> 01:27:30.140]  That's so weird. See this is what I'm talking about. All right, the Wampa terrifying the Tusken Raider who does the exact same thing
[01:27:30.140 --> 01:27:36.740]  Thing you know, but you know here's but you get I remember talking about how I about this and about how his daughter
[01:27:36.740 --> 01:27:40.180]  He felt like his daughter was, you know, very sensitive to certain kinds of thing
[01:27:40.180 --> 01:27:46.500]  She's a really sweet kid and it's like relationship things and some people are very sensitive to almost everything and other people it's virtually impossible
[01:27:46.500 --> 01:27:50.060]  To tell my daughter has seen some really grizzly shit in movies
[01:27:50.220 --> 01:27:53.740]  Like she saw Deadpool putting her head putting his head back on at the end of the next time
[01:27:53.740 --> 01:27:54.820]  I didn't show her the whole movie
[01:27:54.820 --> 01:27:57.660]  I just like you got to see the scene where they put his head back on. It's pretty great a
[01:27:57.660 --> 01:28:04.380]  Terrible movie but but there are some things where I can't guess. Okay. So for example, she's watched a ton of Doctor Who little scared
[01:28:04.380 --> 01:28:06.380]  by the Daleks she's watched
[01:28:06.900 --> 01:28:13.660]  Pretty much almost every Marvel movie except for a few and all the Star Wars movies numerous times
[01:28:14.020 --> 01:28:15.780]  But then you know we watch turn out
[01:28:15.780 --> 01:28:21.300]  Did you ever see that that show on Cartoon Network from last year called over the garden wall? No, never
[01:28:21.300 --> 01:28:24.840]  It's kind of like it's an adventure time II thing about these two little boys who are brothers
[01:28:24.840 --> 01:28:31.240]  Having these like kind of fairy tale adventures combined with like a silly symphonies cartoon feel it's a really great show
[01:28:31.240 --> 01:28:38.240]  But it is like a fairy tale kind of show where there's scary stuff. That's not exactly explained
[01:28:38.400 --> 01:28:40.040]  There's this it's but it's a kids show
[01:28:40.040 --> 01:28:44.360]  it's like it is in the same way as adventure time kind of it's kind of a kids show and
[01:28:44.760 --> 01:28:50.460]  That is the one stuck with her this creature on there called the Beast and I didn't find out for weeks that like she thought
[01:28:50.460 --> 01:28:54.640]  The Beast was under her bed. She was scared to even say anything and I was like, oh, honey, I am so sorry
[01:28:54.640 --> 01:28:58.960]  And mom, of course gives me the eyes. It's like see see see I knew this was gonna happen
[01:28:59.560 --> 01:29:04.840]  But again, would you guess I mean like she didn't mind people's faces melting off and Raiders of the Lost Ark
[01:29:04.840 --> 01:29:11.600]  But the idea of like a black beat this this kind of cartoon bear in the forest is terrifying. Who knows?
[01:29:11.960 --> 01:29:16.000]  Yeah, I remember I had a friend growing up who I
[01:29:16.000 --> 01:29:23.800]  I missed I don't know how but I missed Raiders of the Lost Ark when it was in the theaters, so I didn't see it. Mm-hmm
[01:29:24.440 --> 01:29:29.000]  But it always bothered me. How old were you? I was I was about 13 14. I was I was eight
[01:29:29.000 --> 01:29:34.700]  Okay, so, you know, I are nine eight. I think with 90 in 1981. So I was eight
[01:29:36.040 --> 01:29:39.480]  But I desperately wanted to see it couldn't understand how I missed it, you know
[01:29:39.480 --> 01:29:42.080]  It seemed like something I could have got my dad to take me to it somehow I missed it
[01:29:42.080 --> 01:29:45.160]  But then you know, of course once it was out of theaters, there was no chance to see it
[01:29:45.160 --> 01:29:49.760]  But I knew the basic story and I just knew that there was something about at the end
[01:29:49.760 --> 01:29:53.200]  everybody's faces melted and my one friend growing up was like
[01:29:53.680 --> 01:29:54.960]  Completely freaked out about it
[01:29:54.960 --> 01:30:01.440]  Like he had gone to see it and came out like crying like embarrassed himself like his mom, you know came out of the movie theater
[01:30:03.040 --> 01:30:07.440]  He wasn't scary because it isn't just that like haha little skin melts off
[01:30:07.440 --> 01:30:11.640]  It's like a full-on Ray Harry housing thing where like their entire head like it's a horrifying
[01:30:12.360 --> 01:30:14.360]  really effective effect
[01:30:14.360 --> 01:30:19.880]  yeah, yeah, but he was freaked out and he was the type of kid who just would not, you know, he wasn't like a
[01:30:20.600 --> 01:30:23.520]  Sense, you wouldn't call him a sensitive kid. You really wouldn't know
[01:30:23.520 --> 01:30:28.880]  It's just a normal boy who's going to see what should be and that just was happened to be his thing
[01:30:28.960 --> 01:30:31.360]  Yeah, like it just touched a nerve. What about
[01:30:32.400 --> 01:30:38.400]  Have you seen either the trailer or the movie for Paddington? That's probably a little young for Jonas. Yeah
[01:30:38.400 --> 01:30:44.200]  See the trailer, right? I've seen the trailer. Okay, the trailer I have heard from friends that the movie is
[01:30:44.800 --> 01:30:49.880]  What's one of those movies one of those rare movies with the movies actually way better than the trailer looks which I'm very glad to
[01:30:49.880 --> 01:30:52.840]  Hear but you've seen the trailer. There's a scene where he's in the bathroom
[01:30:52.840 --> 01:30:56.120]  I don't I guess I'm gonna someday my daughter's gonna hear this. I'm gonna be in so much trouble
[01:30:56.920 --> 01:31:02.520]  There's a scene in the bathroom where he's like interacting with what it is to be a bear using the bathroom and he takes a toothbrush
[01:31:02.520 --> 01:31:08.360]  And sticks it in his ear and pulls out this giant wad of totally disgusting looking earwax
[01:31:09.680 --> 01:31:16.080]  It's a dumb shot. It's about three seconds. And if I say the word Paddington, my kid gets freaked out
[01:31:16.080 --> 01:31:18.320]  She cannot stop thinking about the disgusting earwax
[01:31:18.320 --> 01:31:22.680]  She will hear nothing about going to see that movie because of this one scene with earwax
[01:31:22.900 --> 01:31:28.040]  Remember she's seen Deadpool put his head back on but the earwax thing put her off her beer. Yeah, it's
[01:31:28.040 --> 01:31:33.280]  Inexplicable. Here's here's the if I can I toss out one more axis in bad parenting is
[01:31:34.320 --> 01:31:35.720]  the
[01:31:35.720 --> 01:31:39.480]  Balance weighing weighing the balance. Okay, so let's let's take an extreme example
[01:31:41.040 --> 01:31:47.180]  Like would you has it let's take a kid who's like a classic introduction to movies age of like five
[01:31:49.080 --> 01:31:51.960]  Like would you show your kid the third
[01:31:51.960 --> 01:31:58.600]  X-men movie if they're five years old see now me I'm gonna go. You know what? I'm not
[01:31:59.320 --> 01:32:04.760]  Because it's not a very good movie. There is a lot of inside words in it as we say in our house
[01:32:04.960 --> 01:32:09.080]  There is some violence in it, but you know what? It's just not worth it because whatever she sees it
[01:32:09.080 --> 01:32:14.280]  It's not worth it cuz the movies not that good. Would you hesitate to show your kid Toy Story 2? Oh my gosh
[01:32:14.280 --> 01:32:21.240]  No, it's got scary things in it a little bit, but it's so worth it. Right? So isn't that part of the balance though?
[01:32:21.240 --> 01:32:24.400]  It isn't like you're making your kids sit there and watch castle freak or something
[01:32:24.400 --> 01:32:30.780]  Like you're thinking like oh, this is a perfect. Is this the perfect age to introduce this wonderful story to this kid
[01:32:31.360 --> 01:32:33.360]  Yeah, that's a very good point
[01:32:34.480 --> 01:32:37.360]  It has to be you know, the quality of the movie factors
[01:32:37.360 --> 01:32:38.640]  I mean in my own defense
[01:32:38.640 --> 01:32:42.000]  I'm sitting there with her watching the movie like what you know
[01:32:42.000 --> 01:32:46.660]  Except in the case of Mulan to when I'm on my iPad like I am there watching the movie with her
[01:32:46.660 --> 01:32:49.840]  We're talking about the movie not that it's like, you know, freaking Harvard or something
[01:32:49.840 --> 01:32:51.880]  But just to be clear like I it's got to be a movie
[01:32:51.880 --> 01:32:56.080]  I like it's got to be good and it's got to be appropriate given what I can know or guess. I
[01:33:00.320 --> 01:33:04.600]  Totally agree with that. I think you know what else had Jonas seen early
[01:33:04.600 --> 01:33:07.480]  I mean he saw the Bond movies back when Dan and I were talking about him
[01:33:07.480 --> 01:33:09.240]  I mean, you know, I don't know if you watched all of them with me
[01:33:09.240 --> 01:33:11.320]  but he sat through a bunch of them with me and
[01:33:11.880 --> 01:33:17.520]  that was weird on two levels because it also in addition to the fact that it's kind of violent for a
[01:33:17.520 --> 01:33:20.320]  A kid who was probably six or seven at the time
[01:33:22.440 --> 01:33:24.320]  There's the anachronisms
[01:33:24.320 --> 01:33:28.720]  Right. I mean, you know, I think Dan and I spent like half an hour just got you on the pacing
[01:33:28.720 --> 01:33:30.720]  And this is this is one that blew me out of the water
[01:33:30.720 --> 01:33:33.240]  I sent you that picture of my kid punching goldfinger in the face at a casino
[01:33:34.280 --> 01:33:37.920]  Here's the thing. I was I knew this one was gonna be a lot
[01:33:38.560 --> 01:33:42.480]  People are gonna think that that yeah, that was like a total Merlin euphemism
[01:33:42.480 --> 01:33:48.400]  But that you literally sent me a text with a picture of your daughter. Yeah next to a picture of gold
[01:33:48.840 --> 01:33:51.400]  unlicensed mural of James Bond characters
[01:33:52.960 --> 01:33:54.960]  Gold finger in the face
[01:33:56.160 --> 01:33:57.240]  Okay, so
[01:33:57.240 --> 01:34:00.840]  Okay, and this one I barely barely barely got this one past the censors
[01:34:00.840 --> 01:34:04.640]  My wife was pretty iffy about this because if it's one where we're really worried
[01:34:04.640 --> 01:34:10.880]  I will watch the entire movie through again to be sure I definitely we have to find time to talk about 80s movies and how
[01:34:10.880 --> 01:34:16.160]  What completely weird animals 80s movies are because you never know when some boobies are gonna show up in an 80s movie
[01:34:16.160 --> 01:34:18.160]  It's crazy. But
[01:34:18.240 --> 01:34:24.880]  Goldfinger I was like, oh, it's it really is the best James Bond movie and it's got us kind of a silly plot
[01:34:24.880 --> 01:34:31.640]  But it's not that hard to follow. But you know what? My main thing was I was like she is going to watch
[01:34:32.520 --> 01:34:36.160]  She'll watch up to when he takes off the scuba thing and have his tux on that's pretty funny
[01:34:36.160 --> 01:34:41.320]  But I was like the pacing of this movie by her standards is so glacial. There's no way
[01:34:41.320 --> 01:34:46.480]  She's gonna watch more than 20 minutes and then it became the movie that she demanded to watch. It was completely perplexing
[01:34:46.480 --> 01:34:52.320]  She's watching a thing where people are sitting and drinking mint juleps and Kentucky and talking about contaminating gold. I was blown away
