[00:00.000 --> 00:03.000]  You know, I can't believe I missed the holiday party again.
[01:51:04.000 --> 01:51:09.000]  And, you know, these Apple, the people who work in those sorts of areas, it's very clear that these people just, you know, they want to get a Mac.
[01:51:09.000 --> 01:51:14.000]  They're definitely, you know, you can tell they're going to buy one, but they're not definitely, there's no doubt they're going to get the Air.
[01:51:14.000 --> 01:51:19.000]  It's just a question of which one, because, you know, about $100 is the most more they're going to spend.
[01:51:19.000 --> 01:51:22.000]  And it's all about price. And I'm a Mac, I'm a MacBook Air user.
[01:51:22.000 --> 01:51:24.000]  Right. I haven't used a MacBook Pro in years.
[01:51:24.000 --> 01:51:32.000]  For me, I think I was too busy focusing on like the flagship and the one that's got the probably the biggest profit margin.
[01:51:32.000 --> 01:51:38.000]  Right. Right. But that's not the same as I mean, and that's why that $999 13 inch non retina Air is still there.
[01:51:38.000 --> 01:51:41.000]  Right. Because that is that is priced to move.
[01:51:41.000 --> 01:51:43.000]  And that's the price that gets you into a Mac laptop.
[01:51:43.000 --> 01:51:46.000]  And it's a pretty you know what? It's a pretty good system.
[01:51:46.000 --> 01:51:48.000]  It's pretty it's a pretty good mix of power and price.
[01:51:48.000 --> 01:51:50.000]  It really is even to this day.
[01:51:50.000 --> 01:51:57.000]  People who are thinking of the old PC industry in a way that everything every six to eight months, you know, just put new chips and everything would get faster.
[01:51:57.000 --> 01:52:03.000]  And you'd always be, you know, swapping out in a way that the MacBook Air is effectively unchanged and the price is unchanged.
[01:52:03.000 --> 01:52:06.000]  The price isn't going down. They're keeping it at $999.
[01:52:06.000 --> 01:52:12.000]  It's it's because people keep buying them. It is a best selling device and they don't mind that people don't mind.
[01:52:12.000 --> 01:52:22.000]  It's fast enough for them. So, you know, you could say that Apple is under like some kind of moral obligation to, you know, cut the price or, you know.
[01:52:22.000 --> 01:52:25.000]  But it's, you know, business wise, you know, that doesn't make any sense.
[01:52:25.000 --> 01:52:29.000]  It's a very popular device and it exists just to hit that price point.
[01:52:29.000 --> 01:52:34.000]  Then there's the MacBook Pro, which is right now it's the same size.
[01:52:34.000 --> 01:52:38.000]  There's no argument in size or weight between a 13 inch MacBook Pro and a MacBook Air.
[01:52:38.000 --> 01:52:44.000]  It is just the you know, if you want to say pro, it's really, you know, like I emphasize the word nice in my review.
[01:52:44.000 --> 01:52:49.000]  It's the MacBook nice and are the MacBook premium, if you want to call it.
[01:52:49.000 --> 01:52:52.000]  It is, you know, it's in every single regard.
[01:52:52.000 --> 01:52:58.000]  It is nicer, faster, has the retina screen, and now it has a super bright retina screen.
[01:52:58.000 --> 01:53:06.000]  And then in between is the MacBook Thin and Light, which, you know, that's what now is called the MacBook.
[01:53:06.000 --> 01:53:08.000]  Ten years ago or eight years ago, it was the MacBook Air.
[01:53:08.000 --> 01:53:14.000]  And you still pay a premium for the thinness and lightness and the niceness.
[01:53:14.000 --> 01:53:18.000]  And it has a retina screen. And it just it's it's just sexy, right?
[01:53:18.000 --> 01:53:23.000]  I mean, there's just it is like the little convertible sports car, right?
[01:53:23.000 --> 01:53:33.000]  It is really, really I was in a meeting. I'm on this panel at Drexel University that meets like once a year, like alumni advisors in this thing.
[01:53:33.000 --> 01:53:36.000]  And it would be at a meet. I don't go to meetings very often.
[01:53:36.000 --> 01:53:42.000]  We just had a meeting and there was a guy who had the the you know, the current MacBook.
[01:53:42.000 --> 01:53:46.000]  And all I could think is, God damn, that is a nice that is a nice looking laptop.
[01:53:46.000 --> 01:53:51.000]  I don't it's not really for me. Right. But it's like, you know, and I think he's you know, he's just typing emails on it.
[01:53:51.000 --> 01:53:58.000]  And it's like, wow, that is a nice thing to carry around. Is there room for something else?
[01:53:58.000 --> 01:54:06.000]  Like that would be this isn't my proposed marketing name, but the the MacBook Max or the MacBook.
[01:54:06.000 --> 01:54:10.000]  The power, the power MacBook Pro or, you know, whatever you want to call it,
[01:54:10.000 --> 01:54:20.000]  something that trades battery life and maybe some thinness and weight for sheer computing power.
[01:54:20.000 --> 01:54:24.000]  Well, it's the equivalent. I mean, it's a slot that they haven't had for a little while.
[01:54:24.000 --> 01:54:30.000]  Because if you think about the yeah, the air is like the plastic MacBook and the MacBook is where the air used to be.
[01:54:30.000 --> 01:54:35.000]  MacBook Pro is still sort of where it was. And in terms of 13 and 15.
[01:54:35.000 --> 01:54:42.000]  And then there's this lot that used to be like the the lunch tray, right? The cafeteria for the 17 inch MacBook Pro.
[01:54:42.000 --> 01:54:54.000]  And they just don't make that computer anymore. But, you know, and I think this is a lot of the pro fear about Apple is that laptop doesn't exist.
[01:54:54.000 --> 01:55:01.000]  And the Mac Pro basically doesn't exist because it's been abandoned since it was released three years ago.
[01:55:01.000 --> 01:55:06.000]  And so here here we are. Like, what is this? What does this all mean?
[01:55:06.000 --> 01:55:10.000]  Does Apple care about that that market enough to make a product for it?
[01:55:10.000 --> 01:55:16.000]  Or do pros have to kind of eke out their livelihood on computers that were not really made for them?
[01:55:16.000 --> 01:55:22.000]  Because that's the best that Apple wants, not can offer, wants to offer, is willing to offer.
[01:55:22.000 --> 01:55:24.000]  And I don't know. I mean, they totally could.
[01:55:24.000 --> 01:55:32.000]  I'm a little surprised that they didn't take the old MacBook Pro and stuff something even more powerful in there in the old enclosure and just say,
[01:55:32.000 --> 01:55:40.000]  look, and we've got this thing that's got old ports and it's got it's got the latest Intel processors and the latest GPU and go to and no touch bar.
[01:55:40.000 --> 01:55:45.000]  And just it's also available. You can max it out. You can load it up with stuff.
[01:55:45.000 --> 01:55:52.000]  And if you really need it, you can you can take I sympathize and I'm hearing from readers and listeners and I see it and I believe I believe them.
[01:55:52.000 --> 01:55:58.000]  I don't think it's like an idle threat, but I'm hearing from people saying, I think I have to switch back to Windows, you know,
[01:55:58.000 --> 01:56:02.000]  because I need to be able to buy something and it's clear Apple isn't going to make it for me.
[01:56:02.000 --> 01:56:06.000]  And that is the advantage of it's always been the advantage of the PC marketplace is that you.
[01:56:06.000 --> 01:56:10.000]  Well, Apple's whole Apple has holes in its lineup.
[01:56:10.000 --> 01:56:16.000]  And right now, its whole is a notebook that is optimized for let's just say, well, I was going to say power.
[01:56:16.000 --> 01:56:19.000]  But that sounds like it might be energy performance, sheer performance.
[01:56:19.000 --> 01:56:24.000]  The most RAM and the fastest chips and the fastest graphics. They don't have that.
[01:56:24.000 --> 01:56:32.000]  They don't sell it. And there are PC laptops that have, you know, the fastest Intel CPUs and incredibly fast, hot GPUs.
[01:56:32.000 --> 01:56:37.000]  And, you know, they just, you know, sacrifice battery life and wait for that. Apple doesn't fill that.
[01:56:37.000 --> 01:56:47.000]  The hole in the PC market is, in my opinion, niceness. There's nothing you can buy on the PC market that's as nice as a MacBook Pro.
[01:56:47.000 --> 01:56:52.000]  Obviously, that's subjective. Obviously, the difference in that and it drives some people nuts is you can measure performance.
[01:56:52.000 --> 01:56:55.000]  You can run a benchmark and come up with a number.
[01:56:55.000 --> 01:57:02.000]  There's no benchmark for how nice the machine is and how much I appreciate the new hinge when I lift open the thing.
[01:57:02.000 --> 01:57:06.000]  But I feel it in my gut and I believe it. That's what you give up.
[01:57:06.000 --> 01:57:10.000]  It's a shame that there are people who love Maco Macos 10, love the Mac.
