[00:00.000 --> 00:03.180]  There's a lot going on. Yeah, it's good time to be us
[01:38:02.540 --> 01:38:09.020]  Less anything that you want to announce would have time to factor into holiday gift purchases
[01:38:11.260 --> 01:38:17.580]  What do we think is coming the three products my guess is like my guess is that it won't be consumer
[01:38:18.380 --> 01:38:22.140]  Products, it'll be professional products and it'll be similar
[01:38:22.460 --> 01:38:26.540]  Like I know they didn't show anything off at wwc the way they did with the imac pro
[01:38:26.540 --> 01:38:30.880]  But my my guess is still that it'll be something like that, you know where they have a very specific
[01:38:31.500 --> 01:38:37.420]  Not a giant media event, but they have a bunch of stuff put together to show us how the products are used in context
[01:38:37.820 --> 01:38:43.900]  Yeah, well the big we get our introduction that way the one product we've already been told by apple is to expect this calendar year
[01:38:43.980 --> 01:38:50.480]  Is the mac pro right when they and to me what's instructive is to go back to 2017
[01:38:51.020 --> 01:38:54.860]  When they were on a similar schedule with the imac pro where they showed it at
[01:38:54.860 --> 01:38:59.840]  They showed it at wwdc in june said you can expect it later this year
[01:39:01.760 --> 01:39:04.400]  And then they didn't have an event for the the
[01:39:05.040 --> 01:39:10.000]  Launch of the imac pro what they did was hold small private media briefings
[01:39:10.560 --> 01:39:14.320]  In new york, and I believe in cupertino as well so that west coast
[01:39:15.600 --> 01:39:20.000]  Media didn't have to travel to new york and vice versa from from the east coast
[01:39:20.000 --> 01:39:24.880]  and there was no keynote there was nothing that was live broadcast it was just
[01:39:25.840 --> 01:39:30.000]  Small briefings of groups. I think I was in like a group of like six or something like that
[01:39:30.640 --> 01:39:35.520]  And they had multiple demos set up in in their little townhouse and well little
[01:39:36.320 --> 01:39:38.240]  their big townhouse in new york
[01:39:38.240 --> 01:39:44.160]  Where we would just move from station to station and they'd show us, you know, here's here's what the imac pro means for developers
[01:39:44.160 --> 01:39:50.960]  Here's what it means for 3d people who do 3d modeling and rendering and here's what it means in, you know, these other demos
[01:39:52.880 --> 01:39:56.640]  There you go, I could see them doing that exact sort of thing again with the mac pro
[01:39:56.960 --> 01:40:03.040]  I could even see them doing it again if there is as rumored a 16-inch macbook pro coming before the end of the year
[01:40:05.120 --> 01:40:10.240]  Because what do you got what would you even if it wasn't a time compression like oh we're so busy with
[01:40:10.240 --> 01:40:16.480]  The tv plus that we don't even have time to do this event. What are you going to do with a 16-inch macbook pro?
[01:40:16.480 --> 01:40:21.120]  You've already shown catalina. What's the demo? You know, what is the story to be held on stage?
[01:40:21.200 --> 01:40:25.680]  You know, they don't hold stage events just because there's a new product. They have to have something to talk about
[01:40:26.400 --> 01:40:28.960]  And they're not going to talk about how bad the keyboard was for right
[01:40:30.160 --> 01:40:32.160]  Right. They're totally not going to do it
[01:40:32.880 --> 01:40:34.160]  um
[01:40:34.160 --> 01:40:37.120]  Yeah, they're you know, they might talk about how great the new keyboard is
[01:40:37.120 --> 01:40:40.320]  But they're not going to talk about how bad the old keyboard was. Uh, yeah
[01:40:40.720 --> 01:40:43.280]  so the only other product that's rumored that might
[01:40:43.760 --> 01:40:49.280]  You know come out before the end of the year at least that i'm aware of is the air pods with noise cancellation
[01:40:49.360 --> 01:40:51.680]  Yeah, and again that's pro because everything's pro
[01:40:52.240 --> 01:40:57.920]  They could just hold a briefing for that and tell the press how great they sound I don't see them holding an event for that
[01:40:58.640 --> 01:41:02.000]  Yeah, no likewise. So I guess the one last thing I wanted to talk about this week
[01:41:02.640 --> 01:41:04.640]  is
[01:41:04.640 --> 01:41:11.060]  A little bit on catalina, which i've been playing with a little and uh catalyst in particular, which you sort of need catalina
[01:41:12.000 --> 01:41:15.600]  To do and I just know I just know for the whole next year
[01:41:15.840 --> 01:41:19.520]  I'm going to say catalyst when I mean catalina and catalina i've been doing that too
[01:41:21.440 --> 01:41:24.800]  Because it's just I I make errors like that it's
[01:41:25.600 --> 01:41:29.940]  You know talking about like hashing algorithms. It's just I I file stuff in my head alphabetic
[01:41:29.940 --> 01:41:35.640]  alphabetically and c-a-t-a-l just doesn't have many items in it and to have two of them
[01:41:36.200 --> 01:41:38.200]  Be related to the same
[01:41:38.280 --> 01:41:40.280]  version of mac os
[01:41:40.600 --> 01:41:45.800]  Is is really going to screw me up. So I apologize to everybody out there listening for all of the
[01:41:46.280 --> 01:41:51.960]  Catalyst catalina conflations i'm about to make the draft for my review. I called it mac os catalyst
[01:41:53.000 --> 01:41:55.000]  I had to fix it before it went live
[01:41:57.160 --> 01:41:58.440]  In the headline
[01:41:58.440 --> 01:42:02.520]  Yeah, I could totally i'm glad you caught it. I I
[01:42:03.160 --> 01:42:07.320]  Would you know they had press briefings for catalina for the whole os?
[01:42:08.920 --> 01:42:11.000]  The week before it it shipped
[01:42:13.160 --> 01:42:14.040]  And
[01:42:14.040 --> 01:42:19.320]  You know apple pr reached out to me to see if i'd be interested in going up to new york to to
[01:42:19.960 --> 01:42:24.120]  To have the briefing and I was and I thought boy that's weird though
[01:42:24.120 --> 01:42:29.000]  Like I was kind of more intrigued than I would have been because in my head I thought that they said it was a briefing
[01:42:29.000 --> 01:42:33.240]  Entirely about catalyst and I thought whoa, this might be this might be really interesting
[01:42:33.240 --> 01:42:39.480]  Are they they're preemptively having an entire briefing just about this catalyst thing and then I realized it wasn't it was catalina
[01:42:39.960 --> 01:42:41.160]  It was the whole
[01:42:41.160 --> 01:42:45.720]  Just a you know, just a recap of the whole song and dance of all that. It wasn't it was i'm glad I went
[01:42:45.720 --> 01:42:47.720]  It was useful. It was interesting
[01:42:47.640 --> 01:42:48.680]  um
[01:42:48.680 --> 01:42:53.000]  But it wasn't anywhere near as juicy as I thought it would have been if it would have been catalyst specific
[01:42:53.000 --> 01:42:54.360]  um
[01:42:54.360 --> 01:42:58.520]  So anyway, are you using catalyst or not catalyst catalina on your primary machine?
[01:42:59.080 --> 01:43:03.240]  I did I I don't usually do it because I have to edit video on it and I have to edit podcasts on it
[01:43:03.240 --> 01:43:04.520]  And i'm very nervous about it
[01:43:04.520 --> 01:43:09.320]  But again, I just I was using an alternate machine and it just wasn't enough to actually review it
[01:43:09.480 --> 01:43:13.480]  I felt like I had to use it. So I put it on my main machine and it had some ups and downs
[01:43:13.560 --> 01:43:15.560]  But it's pretty solid now
[01:43:15.560 --> 01:43:20.840]  So one of the big changes is that 32-bit apps are now gone and you know apple
[01:43:20.840 --> 01:43:28.520]  Managed this transition about as well as they could they gave plenty of heads up years ago at starting at wwdc is that you know?
[01:43:29.240 --> 01:43:31.240]  soon enough
[01:43:31.080 --> 01:43:34.520]  You know that at that whatever point they made the announcement 32-bit
[01:43:35.720 --> 01:43:40.200]  Frameworks no leopard. It was up on remember bertram put up the huge 32-bit banner at snow leopard
[01:43:40.440 --> 01:43:44.360]  Was that really when they first started I think they mentioned it a little bit with leopard
[01:43:44.360 --> 01:43:49.320]  But it was like a it was a headline feature in snow leopard. Was that just though going to 64-bit?
[01:43:49.320 --> 01:43:51.320]  That's yeah. Yeah
[01:43:53.320 --> 01:43:55.320]  As soon as they went to 64-bit apps
[01:43:55.640 --> 01:44:00.680]  Everybody should have known that eventually they're going to do away with 32-bit apps and it took a long time and that's the way it
[01:44:00.760 --> 01:44:02.120]  should be
[01:44:02.120 --> 01:44:05.000]  You know, I think it took longer on the mac than then
[01:44:05.640 --> 01:44:08.200]  Then it did on ios ios made the transition
[01:44:08.840 --> 01:44:14.360]  Quicker and that's the way it should be because the mac is you know, it's just the nature of a desktop computing platform
[01:44:15.000 --> 01:44:17.560]  So I don't think apple made a wrong decision at all
[01:44:17.560 --> 01:44:19.320]  Um, it might have been too long
[01:44:19.320 --> 01:44:22.920]  It's like you know how sometimes you forget to plug in your ipad because the battery lasts so long
[01:44:23.160 --> 01:44:27.960]  You have to plug this was like it was like 10 years and I think some companies like oh, they're never gonna do it
[01:44:27.960 --> 01:44:32.360]  We're safe, you know, that's that's funny you say that, you know, I didn't really think about that
[01:44:32.360 --> 01:44:35.960]  But I think you're right that there might have been it might have been too long. I don't know
[01:44:36.200 --> 01:44:39.400]  But every time one of these transitions gets made or when something goes away
[01:44:39.400 --> 01:44:46.760]  You know, it's a little sad, you know that there's you know, uh, dry. It's that sad the drag thing doesn't run anymore. Um,
[01:44:47.240 --> 01:44:52.840]  You know, there's some 32-bit stuff that isn't going to make the 64-bit transition and it's a bit sad
[01:44:53.080 --> 01:44:56.440]  But it was sad when classic went away. I hadn't you know, nobody who really
[01:44:57.160 --> 01:45:03.880]  Whatever your however fond your memories of classic mac os were and minor is super fond and there there are you know entire essays
[01:45:03.880 --> 01:45:09.960]  I could write about things of the user interface of the classic mac os that I still think were vastly superior to anything
[01:45:09.960 --> 01:45:12.440]  That's come since including mac os and ios
