[00:00.000 --> 00:04.640]  So where to start I say we let's just talk about Renee Ritchie. Let's talk year in review. Yes
[01:35:44.860 --> 01:35:46.860]  piece from wbdc
[01:35:47.420 --> 01:35:50.380]  Yeah, I think it's you know, probably the best way to do it
[01:35:50.380 --> 01:35:53.180]  Yeah, I think it's you know, probably the best piece I wrote this year
[01:35:53.420 --> 01:35:56.700]  I think it's the only one that or at least the one that has the most staying value
[01:35:57.340 --> 01:36:01.180]  And even lo these many months later. I think it's it's if anything I underplayed it
[01:36:02.140 --> 01:36:05.820]  Yeah, and I think it's true and I think when we like next year we already mentioned maybe there's a bigger ipad
[01:36:05.820 --> 01:36:10.460]  but maybe there's software and services that go along with that and having two gigs and having
[01:36:11.100 --> 01:36:14.780]  An octa core gpu makes a lot more sense, you know next year than it makes this year
[01:36:14.780 --> 01:36:20.380]  But it allows people who buy the brand new ipad air this year to not feel left behind when the newer devices are newer software
[01:36:20.380 --> 01:36:22.140]  ships
[01:36:22.140 --> 01:36:27.580]  I and I still can't I keep thinking about 64-bit for mobile and you know, nobody else has it yet
[01:36:27.580 --> 01:36:32.700]  I mean, there's some chips that are possible capable of it out for android, but it certainly is far from mainstream
[01:36:32.860 --> 01:36:33.020]  Yeah
[01:36:33.020 --> 01:36:37.820]  the nexus 9 I think ship with it just because they they decided they had to have they couldn't wait any longer to
[01:36:38.140 --> 01:36:42.380]  To get 64-bit out the door, but it's not in it's not arm. It's intel, right?
[01:36:42.380 --> 01:36:44.860]  it's the nexus 9 I think is uh
[01:36:45.660 --> 01:36:49.820]  X 84 x86. I think no, I think it's qualcomm, but i'd have to double check
[01:36:50.780 --> 01:36:53.660]  I don't know what either way though. It certainly isn't like a mainstream thing
[01:36:53.820 --> 01:36:57.900]  But to me it's it's 64-bit came out and people complained. Oh, there's no four gigabytes of memory
[01:36:57.900 --> 01:37:01.820]  Apple's just wasting it but it turns out that the arm v8 instruction set was so much better
[01:37:02.140 --> 01:37:05.340]  And the security that they could use enabled all the touch id stuff
[01:37:05.340 --> 01:37:10.220]  There was just so many other things about building that chipset that 64-bit was almost a bonus for them
[01:37:10.220 --> 01:37:15.420]  The same way three cores on the iphone 6 is almost a bonus and eight cores on the eye on the ipad air, too
[01:37:15.580 --> 01:37:18.700]  They're doing it because they can there's no reason not to so why shouldn't we do it?
[01:37:19.500 --> 01:37:24.620]  Right. It just goes hand in hand with the the new instruction set which is really where the performance wins come from
[01:37:24.700 --> 01:37:32.220]  Not the mat not any sort of magical going from 32 to 64 on any hypothetical platform magically makes things better
[01:37:32.620 --> 01:37:36.300]  It wasn't like that. It was a very very practical, you know arm
[01:37:36.300 --> 01:37:41.180]  The new arm instruction set is way better. It gets rid of all sorts of legacy cruft
[01:37:41.900 --> 01:37:46.540]  You know that dates back to the early days of arm when it was powering things like the newton
[01:37:46.860 --> 01:37:51.980]  Yeah, and you know palm pilots and stuff like that and way more registers. It's just so many benefits
[01:37:52.540 --> 01:37:58.460]  Right and everything that the the computer engineers have learned since then about how to make efficient
[01:37:58.700 --> 01:38:02.060]  You know instruction sets for for computers and you know
[01:38:02.060 --> 01:38:07.500]  for computers and you know and what what is it that a modern compiler wants to see
[01:38:08.060 --> 01:38:12.620]  in an instruction set to to generate efficient code and it was you know
[01:38:13.340 --> 01:38:21.020]  Rewritten from scratch with all this cruft gone and all sorts of new stuff to help modern compilers, you know in there
[01:38:21.660 --> 01:38:27.180]  And here we are over a year later and apple is still the only mainstream, you know device that has it
[01:38:27.500 --> 01:38:30.860]  And we have swift and we have metal. So when you put those technologies all together
[01:38:30.860 --> 01:38:33.680]  Eventually, the performance is going to be way beyond what just the hardware delivers
[01:38:34.940 --> 01:38:37.260]  Yeah, and I think that those two things, you know
[01:38:38.060 --> 01:38:42.720]  Swift is obviously new for 2014. Uh metal is new for 2014
[01:38:43.660 --> 01:38:45.660]  and
[01:38:46.540 --> 01:38:53.340]  I think they get to the heart of like what what what is apple going to be like as a big company with with
[01:38:54.380 --> 01:38:56.380]  big weapons to swing around
[01:38:56.380 --> 01:39:03.100]  And you know, obviously like I said like the watch the the canary in the coal fund i'm looking for is hubris, you know
[01:39:03.100 --> 01:39:08.300]  And obviously when a company gets bigger it tries to do more on its own. I mean microsoft famously, you know
[01:39:08.300 --> 01:39:10.380]  It does everything on its own. Um
[01:39:11.420 --> 01:39:15.020]  You know their own, you know, they're the only company that you just backed, you know
[01:39:15.020 --> 01:39:19.900]  Just little details like that. They use backslashes instead of slashes between directory paths
[01:39:21.260 --> 01:39:23.260]  To you know having had their own
[01:39:23.260 --> 01:39:25.260]  Having had their own
[01:39:25.980 --> 01:39:29.580]  You know developer tool chain and their own programming language, you know
[01:39:30.220 --> 01:39:36.700]  For you know, but they did more than that though. I feel like when microsoft was at its height, you know in the 90s
[01:39:37.260 --> 01:39:40.860]  you know, it was the fact that they expanded into things like uh,
[01:39:41.880 --> 01:39:48.380]  Co-ownership of slate.com the founding of msnbc, you know that they wanted to own a cable news network
[01:39:48.380 --> 01:39:53.740]  you think right what why would microsoft want to get involved in cable news, you know, but
[01:39:54.780 --> 01:40:01.020]  I feel like apple as they try to do more and more on their own. It's only in the name of enabling features
[01:40:01.180 --> 01:40:05.100]  That would be better for the products. They're already making right like for enterprise
[01:40:05.180 --> 01:40:09.820]  They didn't decide to create an enterprise company or buy an enterprise company. They partnered with ibm to let them do what they did
[01:40:09.820 --> 01:40:11.420]  well
[01:40:11.420 --> 01:40:14.700]  Right. No, that's a great. Yeah, that's a great example of that
[01:40:14.700 --> 01:40:20.220]  they didn't create this new enterprise division within apple, which is outside their expertise and
[01:40:20.940 --> 01:40:26.540]  And risks losing their focus, you know, if tim cook wants this, you know wants to make a big bet and
[01:40:27.340 --> 01:40:31.900]  And do this so he doesn't have to spend anywhere near as much attention on it as you know
[01:40:32.220 --> 01:40:35.900]  As he would in this world where they're willing to say, you know what? We just want
[01:40:36.620 --> 01:40:38.620]  Our devices to be used in the enterprise
[01:40:38.940 --> 01:40:42.940]  We'll let ibm handle how to make the sales and how to write these, you know
[01:40:42.940 --> 01:40:45.980]  These apps that are meant for that market. It's a perfect example
[01:40:46.780 --> 01:40:50.940]  Yeah, much better than buying sap or something that you know, the imaginary people always want apple to buy
[01:40:51.420 --> 01:40:58.780]  Right and swift, you know is an example where they're not they didn't create a new programming language to change computer science
[01:40:59.100 --> 01:41:02.940]  it's not you know, if anything the critiques from people who are like
[01:41:03.580 --> 01:41:10.460]  Programming language critics is that it's sort of a boring language. There's nothing outlandish about it. There's nothing
[01:41:10.940 --> 01:41:12.540]  novel about it
[01:41:12.540 --> 01:41:13.500]  um
[01:41:13.500 --> 01:41:20.300]  It's just a nice simple language, you know in terms not not that there aren't clever things under the hood and like the fact that
[01:41:21.260 --> 01:41:22.780]  um
[01:41:22.780 --> 01:41:23.900]  You know
[01:41:23.900 --> 01:41:28.940]  Most of the language that's designed is is defined in the runtime not in the language itself
[01:41:29.020 --> 01:41:32.860]  The language itself is super super minimal. There's something, you know artistic about that
[01:41:33.180 --> 01:41:36.780]  But effectively it's just what kind of programming language would you write?
[01:41:36.780 --> 01:41:42.220]  Would you want to enable the sort of software that apple wants to run?
[01:41:42.620 --> 01:41:45.580]  That's it. It's just a very very practical language
[01:41:47.100 --> 01:41:50.060]  You know and what would you get when you have a language that's
[01:41:50.620 --> 01:41:56.940]  Led by the compiler guy chris latner or a company that lets the compiler guy leave the language
[01:41:57.260 --> 01:42:00.300]  Right, but it's sort of the opposite of the sort of hoity-toity
[01:42:00.300 --> 01:42:07.340]  Hoity-toity academic languages that you know with the new programming languages that I remember when I was young and in college in the 90s
[01:42:07.420 --> 01:42:08.780]  Where it was all
[01:42:08.780 --> 01:42:14.060]  Led it was you know, the the the practical utility then was completely abstracted. It was all
[01:42:16.440 --> 01:42:19.100]  Philosophical in terms of what was driving the decisions behind them
[01:42:19.180 --> 01:42:22.460]  Yeah, it's a language designed to be used by apple and and sooner rather than later
[01:42:23.420 --> 01:42:27.820]  Yes, very much. So and very much designed, you know as
[01:42:27.820 --> 01:42:30.080]  Syracuse has pointed out on atp
[01:42:30.720 --> 01:42:36.880]  It's we've already one thing we've got that is not going to budge is we've already got these frameworks the cocoa frameworks
[01:42:37.520 --> 01:42:41.680]  And in theory if they were going to start with all new frameworks, maybe they'd come up with a all new language
[01:42:41.760 --> 01:42:45.680]  But it's if we've got these frameworks that are you know, have these, you know
[01:42:45.760 --> 01:42:50.160]  That are already designed and already have these these, you know design patterns
[01:42:50.240 --> 01:42:53.600]  What type of new language would we use that would best leverage them?
[01:42:53.600 --> 01:42:58.480]  And that's one of the things that I really like about the way that apple is running now is they're not they don't have to
[01:42:58.560 --> 01:43:00.640]  Restart everything again. They can do something like
[01:43:01.440 --> 01:43:04.400]  Add llvm and add swift and do these things that
[01:43:04.720 --> 01:43:09.360]  Take them further without having to destroy or stop or played an artificial break between what they had before
[01:43:09.680 --> 01:43:13.600]  It's like they're swapping the parts behind the scenes and if you're not paying attention, you might not even see it
