[00:00.000 --> 00:02.000]  Uh, here we are. We're recording on
[01:38:13.260 --> 01:38:15.260]  Yeah, I definitely think so. Yeah, I
[01:38:15.980 --> 01:38:20.460]  I don't know. You never know. I mean who knows what the hell's going to be in the keynote and anything that I mean
[01:38:20.460 --> 01:38:26.860]  All I know is ios 9 and os 10, but I wouldn't be surprised if swift made the keynote again and did not
[01:38:26.860 --> 01:38:32.140]  Wasn't just relegated to the afternoon state of the platform's second keynote, right? We'll see
[01:38:32.140 --> 01:38:39.260]  Maybe they'll throw something up on the that last slide. They always do with the the very small changes smaller app downloads or something
[01:38:40.620 --> 01:38:44.700]  For swift apps. Yeah, maybe that's that's certainly one way to make it compelling
[01:38:45.340 --> 01:38:48.700]  Uh, who knows, you know, and you know, the swift team was very secretive last year
[01:38:48.700 --> 01:38:53.660]  And even though you know the the public changes there have been plenty of them in the year since it's come out who knows what?
[01:38:53.660 --> 01:38:58.220]  Other secret stuff they've been working on in terms of performance or something like that
[01:38:58.860 --> 01:39:03.180]  I mean again, and it's so hard to say because I know the conference is wwdc and so
[01:39:03.740 --> 01:39:10.700]  Ostensibly the whole conference is about developers, but let's face it that the monday keynote is really a mass market apple keynote
[01:39:10.700 --> 01:39:14.940]  Yeah, I mean they're streaming it on their website the whole apple music thing this again
[01:39:14.940 --> 01:39:19.020]  Purely completely pulled out of my ass just but it's just in terms of knowing
[01:39:19.660 --> 01:39:24.540]  What some of the weak spots in swift currently are I know that debugging is a real weak spot
[01:39:24.780 --> 01:39:30.860]  It's it's not it's nothing that has nothing like the apparatus that objective c has for debugging. So if they added
[01:39:31.660 --> 01:39:32.860]  awesome
[01:39:32.860 --> 01:39:37.020]  Amazing, you know leaps ahead of objective c develop uh debugging
[01:39:37.660 --> 01:39:43.020]  Again, this might make like the general press who are there watching the keynote be like, I don't know
[01:39:43.020 --> 01:39:46.620]  What that means but it's going to make the developers in the audience go nuts
[01:39:47.260 --> 01:39:53.740]  They did a pretty good job with that last year of trying to spin the developer oriented announcements through a consumer focus
[01:39:53.740 --> 01:39:55.740]  So like when they had the whole developer
[01:39:55.900 --> 01:40:00.860]  Portion of the keynote they really focused on high level stuff such as like the touch id api
[01:40:01.420 --> 01:40:03.900]  Media could understand that yeah, but
[01:40:04.540 --> 01:40:09.180]  And like the cool graphics they showed with the swift demo. So what else with ios 9 new keyboard
[01:40:09.180 --> 01:40:13.340]  Better legacy device support
[01:40:13.340 --> 01:40:19.580]  What do you know what have you heard about that now that's something that I guess you've reported on that they're targeting a5
[01:40:20.220 --> 01:40:22.220]  Right. Okay. So
[01:40:22.220 --> 01:40:25.660]  When they traditionally created a new ios update they would
[01:40:26.700 --> 01:40:29.340]  Like test all the features and all the devices they wanted to support
[01:40:29.900 --> 01:40:34.540]  And then pick apart features that didn't work well on the older hardware and that's kind of why
[01:40:34.540 --> 01:40:43.500]  Older iphones got bloated and stale and sluggish this year. They're targeting at least the iphone 4s and ipad mini specifically
[01:40:44.380 --> 01:40:50.620]  To instead of throwing all the features on those from ios 9 and then picking it apart they're adding features
[01:40:51.260 --> 01:40:53.260]  One by one on top of the os
[01:40:54.140 --> 01:40:57.020]  So on those older devices it should still be
[01:40:57.980 --> 01:41:01.980]  Much faster than even ios 8 so i would go as far as to say is ios 9
[01:41:01.980 --> 01:41:05.020]  so i would go as far as to say is ios 9 will make
[01:41:05.740 --> 01:41:09.580]  ipad minis and iphone 4s on older os's even faster
[01:41:10.220 --> 01:41:11.340]  so
[01:41:11.340 --> 01:41:12.460]  that
[01:41:12.460 --> 01:41:14.140]  sounds like
[01:41:14.140 --> 01:41:15.660]  common sense
[01:41:15.660 --> 01:41:21.820]  Like it just sounds like well duh, but I there's no doubt if that's true. That is a
[01:41:22.300 --> 01:41:27.020]  Seriously different strategy that they've pursued and in my opinion
[01:41:27.020 --> 01:41:32.160]  Extremely welcome. I mean for me personally, it's irrelevant because i'm an idiot and I buy a new iphone every year
[01:41:32.720 --> 01:41:34.000]  but
[01:41:34.000 --> 01:41:37.120]  As an observer of the company and as somebody who you know
[01:41:38.000 --> 01:41:42.480]  I always try to stay out of it like when family members like should I get a new iphone or what computer server?
[01:41:42.560 --> 01:41:44.640]  And I try to be like ask somebody else
[01:41:45.520 --> 01:41:50.480]  Because I feel like it's like you break it you bought it like you tell them to buy a macbook air and then you're on
[01:41:50.480 --> 01:41:54.080]  The hook for all the tech support going forward exactly, but I hear it. You know what I mean?
[01:41:54.080 --> 01:41:58.320]  It's like I I don't know. I don't know. What do you say to somebody who's like
[01:41:59.040 --> 01:42:00.880]  uh, you know like
[01:42:00.880 --> 01:42:05.680]  Somebody in your family who's like, I don't know my iphone said I had an update and I said, okay
[01:42:05.920 --> 01:42:10.800]  And then 10 minutes later and now my iphone is slow and it's like well that that sucks
[01:42:11.200 --> 01:42:16.640]  They're gonna need to spend some time changing the narrative on that because even the people who don't follow apple closely
[01:42:16.800 --> 01:42:23.520]  There is this narrative going around in like the mass market that iphone updates screw with your phone people don't want to update
[01:42:23.520 --> 01:42:25.520]  And so I think with this
[01:42:25.660 --> 01:42:31.600]  WWDC they're gonna have to step back and really promote the new s as being a big quality and performance leap
[01:42:32.000 --> 01:42:34.000]  And I think that's exactly what they're gonna do
[01:42:34.320 --> 01:42:40.800]  Yeah, and I think that that's one of those things where apple gets and and it's this the the recent, you know
[01:42:41.440 --> 01:42:42.560]  thawing
[01:42:42.560 --> 01:42:46.000]  In in the post katie cotton pr apple
[01:42:46.640 --> 01:42:49.280]  You know and and the the sort of you know
[01:42:49.280 --> 01:42:56.560]  Maybe you wouldn't call them open, but they're opener sure and they were right that they're sort of trying to get past that which is that
[01:42:58.400 --> 01:43:04.160]  In the past it was very easy to mistake their complete and utter silence for
[01:43:05.760 --> 01:43:12.000]  Ambivalence whereas they might care very deeply about something but they're still not going to say anything and you can't how can you tell from the outside?
[01:43:12.320 --> 01:43:16.720]  And I think that that's one this might be one of those things where they've been
[01:43:16.720 --> 01:43:20.480]  They're aware of the criticism. They're aware of the problem not just the criticism
[01:43:20.480 --> 01:43:26.720]  But they're aware that it's a legitimate problem and and now they're doing something about it, right and they were of course aware of this before
[01:43:27.280 --> 01:43:31.840]  You know, it was written about like I know you were one of the first people to really highlight the the bugs
[01:43:32.560 --> 01:43:35.920]  Right earlier this year in ios 8, you know, 70 talking about that
[01:43:36.720 --> 01:43:38.720]  but you know, of course
[01:43:38.720 --> 01:43:44.400]  Engineers have been pushing for a step back like this for for a while, but you know, apple is really governed by marketing
[01:43:44.400 --> 01:43:46.240]  right, so
[01:43:46.240 --> 01:43:49.200]  yeah, well and perception, you know, right perception and so
[01:43:53.680 --> 01:44:01.120]  While we're on that subject what about this whole crazy discovery d thing, yeah heard anything about that. Uh,
[01:44:02.480 --> 01:44:04.480]  Yes, I did hear something about that
[01:44:05.120 --> 01:44:08.400]  The backstory but I don't remember what I was told
[01:44:09.520 --> 01:44:11.840]  Something about it being a mistake
[01:44:11.840 --> 01:44:14.160]  Something about it being a mistake
[01:44:15.280 --> 01:44:18.560]  that that wasn't the plan initially, I don't know I have to go back and look but
[01:44:19.360 --> 01:44:22.400]  I know that they knew this was a problem. They wanted to fix it
[01:44:22.640 --> 01:44:24.640]  What have you heard while I try to think about this?
[01:44:25.360 --> 01:44:26.240]  well
[01:44:26.240 --> 01:44:32.080]  I the rehashing a little bit from last week's show with renee, but it's what i've heard is that
[01:44:32.960 --> 01:44:39.120]  It's become a whipping boy internally and as it is a it is a bad piece of software at the moment now
[01:44:39.120 --> 01:44:42.880]  That doesn't mean it's unfixable. It just means it shouldn't have shipped when it did
[01:44:43.040 --> 01:44:45.200]  It should not have replaced mdns responder yet
[01:44:45.680 --> 01:44:50.880]  And the assumption that so many people had on the outside was that okay
[01:44:51.040 --> 01:44:54.080]  This clearly this piece of software discovery d is buggy
[01:44:54.720 --> 01:45:01.280]  But they must have shipped it because these continuity features must have depended on it and they had to you know
[01:45:01.280 --> 01:45:03.280]  These continuity features were a tent pole
[01:45:03.280 --> 01:45:08.880]  So they had to ship discovery d when they did ready or not. And then it turns out that that these you know
[01:45:08.880 --> 01:45:16.320]  The third-party people that sort of hacker crowd who figured out hey if you put in mdns responder from mac os
[01:45:16.960 --> 01:45:18.160]  10.8
[01:45:18.160 --> 01:45:19.360]  or
[01:45:19.360 --> 01:45:21.360]  10.9
[01:45:21.920 --> 01:45:22.800]  And
[01:45:22.800 --> 01:45:29.360]  Disable discovery d everything still works and the bugs from discovery d go away and your printer doesn't disappear after a week
[01:45:29.360 --> 01:45:33.360]  And your apple tv doesn't get renamed apple tv3 and again, like I said to renee
[01:45:33.360 --> 01:45:35.520]  I would never recommend that that i'm too old for that
[01:45:35.520 --> 01:45:39.920]  That's the sort of you know following advice like that is the sort of stuff that's a young man's game in my opinion
