[00:00.000 --> 00:04.000]  Glenn Fleischman, it is so good to have you back on the show.
[01:50:02.000 --> 01:50:09.000]  And it's used mostly, like I say, like 99.9% of it is for printing plastic bags of mulch
[01:50:09.000 --> 01:50:11.000]  and the labels on your stuff.
[01:50:11.000 --> 01:50:16.000]  Anything that's an irregular surface or whatever is printed with flexography using photopolymer
[01:50:16.000 --> 01:50:17.000]  plates.
[01:50:17.000 --> 01:50:22.000]  And anyway, so this is printed on a letterpress, but it's not printed with, it's not metal
[01:50:22.000 --> 01:50:24.000]  or wood type.
[01:50:24.000 --> 01:50:25.000]  Although I did, I put an Easter egg in.
[01:50:25.000 --> 01:50:30.000]  There is actually a line set in six-point italic type that's in the book that's a little
[01:50:30.000 --> 01:50:31.000]  joke that I did in metal.
[01:50:31.000 --> 01:50:35.000]  I did the last thing I did is that last little bit.
[01:50:35.000 --> 01:50:38.000]  But so there's just, so the thing I realized in doing this, I was working on this and I'm
[01:50:38.000 --> 01:50:39.000]  kind of churning away.
[01:50:39.000 --> 01:50:42.000]  I'm on this press that has, it runs the ink rollers automatically.
[01:50:42.000 --> 01:50:46.000]  So, you put ink on a metal roller and it distributes it, and it has a reciprocating thing that
[01:50:46.000 --> 01:50:48.000]  moves back and forth to make it even.
[01:50:48.000 --> 01:50:51.000]  So, you can get presses that are even more primitive where you're actually running a
[01:50:51.000 --> 01:50:53.000]  brayer over the stuff you're trying to print.
[01:50:53.000 --> 01:50:55.000]  In this case, I've got like, this is a motorized thing.
[01:50:55.000 --> 01:50:57.000]  It takes a big part of it out, but there's still a manual crank.
[01:50:57.000 --> 01:50:58.000]  So, I'm sitting there.
[01:50:58.000 --> 01:51:01.000]  It takes about three turns of the crank to go from one end of the press to the other
[01:51:01.000 --> 01:51:02.000]  to do each sheet.
[01:51:02.000 --> 01:51:07.000]  And I wound up, I think I've done about 12,000 passes on the press to do this book so far.
[01:51:07.000 --> 01:51:11.000]  So, right now, the status of the book is that it's been printed.
[01:51:11.000 --> 01:51:12.000]  And so, it's on paper.
[01:51:12.000 --> 01:51:13.000]  There are sheets of paper.
[01:51:13.000 --> 01:51:14.000]  It's on paper.
[01:51:14.000 --> 01:51:18.000]  And you had to do, did you have to do the thing where you had to collate it so that
[01:51:18.000 --> 01:51:20.000]  like, page 11 is on one side?
[01:51:20.000 --> 01:51:21.000]  Yeah, oh my God.
[01:51:21.000 --> 01:51:26.000]  And page 47 or whatever, or you know, 88 is on the other side, right?
[01:51:26.000 --> 01:51:27.000]  I know you love this stuff.
[01:51:27.000 --> 01:51:28.000]  So, I'll tell you.
[01:51:28.000 --> 01:51:30.000]  Yeah, I actually posted, I had this planning document.
[01:51:30.000 --> 01:51:31.000]  I started with a simple document.
[01:51:31.000 --> 01:51:32.000]  And I was like, well, I should just lay this out.
[01:51:32.000 --> 01:51:33.000]  I needed the imposition.
[01:51:33.000 --> 01:51:35.000]  And then it got more and more complicated.
[01:51:35.000 --> 01:51:38.000]  It's like this incredibly dense thing with like ink color.
[01:51:38.000 --> 01:51:40.000]  And I'm using a paper that has a deckle edge.
[01:51:40.000 --> 01:51:44.000]  But the parent sheets are 25 and a half by 38 inches.
[01:51:44.000 --> 01:51:48.000]  So, the deckle is along the two, it's along the long edge.
[01:51:48.000 --> 01:51:49.000]  And it's machine made.
[01:51:49.000 --> 01:51:50.000]  So, it's made continuously.
[01:51:50.000 --> 01:51:53.000]  So, it only has a deckle edge on, this is the, so folks don't know.
[01:51:53.000 --> 01:51:55.000]  Deckle edges, that's that rough edge you see.
[01:51:55.000 --> 01:51:58.000]  Sometimes it's made by like actually being stamped out by a form.
[01:51:58.000 --> 01:52:00.000]  So, a lot of books get a book club edition book.
[01:52:00.000 --> 01:52:02.000]  It has a fake deckle edge that's stamped out.
[01:52:02.000 --> 01:52:06.000]  And you can tell it's fake because the deckle, the edge is even all the way across.
[01:52:06.000 --> 01:52:10.000]  If it's a true deckle edge, it's the edge of the form, which is called the deckle,
[01:52:10.000 --> 01:52:15.000]  that the wood pulp is sieved on top of and the water's drained out.
[01:52:15.000 --> 01:52:16.000]  It's pressed and dried.
[01:52:16.000 --> 01:52:18.000]  If it's a true deckle edge, it's feathery on the edge.
[01:52:18.000 --> 01:52:19.000]  That's how you tell the difference.
[01:52:19.000 --> 01:52:22.000]  So, I got a paper with a deckle edge, but because the sheets are so big,
[01:52:22.000 --> 01:52:26.000]  I can only have a deckle edge on every other sheet of paper.
[01:52:26.000 --> 01:52:29.000]  This is a 64-page book finished.
[01:52:29.000 --> 01:52:32.000]  I'm printing it four up on each side.
[01:52:32.000 --> 01:52:34.000]  So, each press sheet is four pages on each side.
[01:52:34.000 --> 01:52:38.000]  So, in order to get the deckle edges to alternate,
[01:52:38.000 --> 01:52:42.000]  not only did I have to figure out how to impose four 16-page signatures,
[01:52:42.000 --> 01:52:48.000]  but also rotate each sheet, one of the folios,
[01:52:48.000 --> 01:52:51.000]  the two-page things that are going to be folded in half when it's cut down,
[01:52:51.000 --> 01:52:56.000]  I had to flip that so the deckle edge would be alternating when the final book was made.
[01:52:56.000 --> 01:53:02.000]  So, I made folding dummies out of paper and numbered them and took them apart
[01:53:02.000 --> 01:53:04.000]  and then turned this into a digital document.
[01:53:04.000 --> 01:53:05.000]  It was a lot of fun.
[01:53:05.000 --> 01:53:09.000]  Being a printer is sort of one of those things,
[01:53:09.000 --> 01:53:12.000]  and I think you and I have somebody's shared interests,
[01:53:12.000 --> 01:53:15.000]  but one of the other things, I really love mechanical watches,
[01:53:15.000 --> 01:53:18.000]  and I think watchmakers think like programmers.
[01:53:18.000 --> 01:53:23.000]  If I was living 100 years ago, maybe what I would have done is get into watchmaking
[01:53:23.000 --> 01:53:27.000]  because it's all if this, then that.
[01:53:27.000 --> 01:53:32.000]  This will turn at this rate, and if once every eighth of a second it's going to hit this,
[01:53:32.000 --> 01:53:34.000]  and when it hits this, it's going to turn this,
[01:53:34.000 --> 01:53:38.000]  and one logical this, then it will touch this,
[01:53:38.000 --> 01:53:44.000]  and then the second hand will tick one eighth of a second on the dial of the watch.
[01:53:44.000 --> 01:53:46.000]  Printers have the same thing,
[01:53:46.000 --> 01:53:50.000]  where printers sit there and can strategically, algorithmically,
[01:53:50.000 --> 01:53:54.000]  well, one goes here, two goes there, three goes there,
[01:53:54.000 --> 01:53:58.000]  and that's why I always loved spending time in the print shop back in my graphic design days.
[01:53:58.000 --> 01:54:02.000]  I loved going there, and I just loved picking the minds.
[01:54:02.000 --> 01:54:08.000]  Well, show me how you set that up, and most people who take pride in their work,
[01:54:08.000 --> 01:54:09.000]  and that's another thing, too.
[01:54:09.000 --> 01:54:12.000]  I don't know anybody who ever went to work in a print shop is like a printer
[01:54:12.000 --> 01:54:14.000]  who didn't take tremendous pride in their work.
[01:54:14.000 --> 01:54:20.000]  They're all in there, and they could spot errors a million miles away.
[01:54:20.000 --> 01:54:22.000]  Yeah, you wouldn't last is the kind of thing.
[01:54:22.000 --> 01:54:24.000]  But here's the thing.
[01:54:24.000 --> 01:54:27.000]  At some point, actually, I was talking to my friend Becky Slatkin,
[01:54:27.000 --> 01:54:29.000]  who is one of the funniest people.
[01:54:29.000 --> 01:54:31.000]  I'm going to embarrass her if she's listening to this
[01:54:31.000 --> 01:54:33.000]  because she's one of the funniest people on Twitter, doesn't tweet a lot.
[01:54:33.000 --> 01:54:35.000]  She's an iOS developer back east.
[01:54:35.000 --> 01:54:37.000]  Rebecca Slatkin has her Twitter handle.
[01:54:37.000 --> 01:54:39.000]  I recommend following her if you're a programmer
[01:54:39.000 --> 01:54:43.000]  or you like programming-related humor because she's just so dry.
[01:54:43.000 --> 01:54:45.000]  There's no vermouth in her tweets at all.
[01:54:45.000 --> 01:54:48.000]  And I was talking to her the other day, and she's asking how the book was going,
[01:54:48.000 --> 01:54:50.000]  and I was like, you know, I just realized something.
[01:54:50.000 --> 01:54:55.000]  You're programming tweets and my letterpress actually have a lot in common.
[01:54:55.000 --> 01:54:56.000]  She's like, what are you talking about?
[01:54:56.000 --> 01:55:00.000]  And it was, I realized this letterpress I'm working on, it's like Xcode.
[01:55:00.000 --> 01:55:04.000]  I'm not even kidding because you see the metaphor.
[01:55:04.000 --> 01:55:09.000]  It's like I have a device that I didn't make, and it's kind of wonky and weird.
[01:55:09.000 --> 01:55:12.000]  And when you're using letterpress printing, you have these parameters.
[01:55:12.000 --> 01:55:15.000]  You have where the relief, it's a relief process,
[01:55:15.000 --> 01:55:20.000]  so you have to raise it off the bed of the press by exactly.918 inches.
[01:55:20.000 --> 01:55:21.000]  It's type high.
[01:55:21.000 --> 01:55:25.000]  So, anything that takes ink should be exactly that high, no higher or no lower,
[01:55:25.000 --> 01:55:28.000]  which is a whole thing when you look at the history of how type was made,
[01:55:28.000 --> 01:55:31.000]  that it was possible in early industrial days that they could get it that exact.
[01:55:31.000 --> 01:55:33.000]  Gutenberg was a genius, right?
[01:55:33.000 --> 01:55:34.000]  So, there's that thing.
[01:55:34.000 --> 01:55:36.000]  Then you have ink rollers, which can be raised or lowered,
[01:55:36.000 --> 01:55:38.000]  and the ink rollers have to have the relationship
[01:55:38.000 --> 01:55:40.000]  because you don't want to overink, you don't want to underink.
[01:55:40.000 --> 01:55:43.000]  Then you have this thing, and what I'm using is a cylinder press,
[01:55:43.000 --> 01:55:45.000]  and there's a timpen on top, which is a piece of paper,
[01:55:45.000 --> 01:55:48.000]  like a kind of slightly waxed oiled paper,
[01:55:48.000 --> 01:55:50.000]  which you place the paper that you're printing on over.
[01:55:50.000 --> 01:55:53.000]  The timpen is packing underneath, and the packing has to be raised to,
[01:55:53.000 --> 01:55:58.000]  I mean, working in thousandth or five, ten thousandths of an inch increments.
[01:55:58.000 --> 01:56:01.000]  We have a digital caliper.
[01:56:01.000 --> 01:56:06.000]  So, I'm constantly working on the difference between, say,.047 and.046 inches,
[01:56:06.000 --> 01:56:08.000]  and sometimes a little bit less than that.
[01:56:08.000 --> 01:56:11.000]  So, this is the degree of precision you're working with on equipment that,
[01:56:11.000 --> 01:56:15.000]  again, at 70 years old, and we have presses in the shop that are like 120 years old,
[01:56:15.000 --> 01:56:16.000]  that are a little different.
[01:56:16.000 --> 01:56:18.000]  So, I realize I'm messing with this machine.
[01:56:18.000 --> 01:56:22.000]  I'm like, this is really, this is so much like programming.
[01:56:22.000 --> 01:56:24.000]  Even though I'm working in this very analog environment,
